parameter,value,CV
L_goes_down_False_mab_virus_Clinical VRC01|PVO.4,1.90242878021641e-07,
L_goes_down_False_mab_virus_PGDM1400|1176,8.99236358790682e-06,
L_goes_down_False_mab_virus_PGDM1400|1798,5.02244756758123e-06,
L_goes_down_False_mab_virus_PGDM1400|2944,1.79104970666586e-06,
L_goes_down_False_mab_virus_PGDM1400|2946,7.74324217329051e-05,
L_goes_down_False_mab_virus_PGDM1400|3430,8.41800661451622e-07,
L_goes_down_False_mab_virus_PGDM1400|4166,9.62439693277026e-06,
L_goes_down_False_mab_virus_PGDM1400|4168,4.13117522494149e-08,
L_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,4.57850389417853e-06,
L_goes_down_False_mab_virus_PGDM1400|PVO.4,4.78554024465429e-08,
L_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,3.98103566642904e-07,
L_goes_down_False_mab_virus_PGDM1400|TRO.11,1.497919828778e-07,
L_goes_down_False_mab_virus_PGT121|1176,7.20066447957151e-07,
L_goes_down_False_mab_virus_PGT121|1798,2.40376389792057e-07,
L_goes_down_False_mab_virus_PGT121|2944,6.8674414742435e-05,
L_goes_down_False_mab_virus_PGT121|2946,2.70269194745464e-06,
L_goes_down_False_mab_virus_PGT121|3430,3.05167174367099e-07,
L_goes_down_False_mab_virus_PGT121|4166,1.4123830233367e-07,
L_goes_down_False_mab_virus_PGT121|4168,7.23114718310026e-06,
L_goes_down_False_mab_virus_PGT121|Ce1176_A3,3.24872088229504e-07,
L_goes_down_False_mab_virus_PGT121|PVO.4,1.30197812098462e-05,
L_goes_down_False_mab_virus_PGT121|RHPA4259.7,2.41278054210379e-05,
L_goes_down_False_mab_virus_PGT121|TRO.11,3.81694385251532e-06,
L_goes_down_False_mab_virus_VRC07-523LS|1176,9.92676271972798e-08,
L_goes_down_False_mab_virus_VRC07-523LS|1798,3.03869465431642e-07,
L_goes_down_False_mab_virus_VRC07-523LS|2944,8.44170493188768e-09,
L_goes_down_False_mab_virus_VRC07-523LS|2946,1.2777969620185e-06,
L_goes_down_False_mab_virus_VRC07-523LS|3430,1.13355283359931e-06,
L_goes_down_False_mab_virus_VRC07-523LS|4166,8.55818647094639e-08,
L_goes_down_False_mab_virus_VRC07-523LS|4168,1.02300625547281e-07,
L_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,8.18302019439168e-06,
L_goes_down_False_mab_virus_VRC07-523LS|PVO.4,1.89479119165825e-08,
L_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,1.55521521040528e-07,
L_goes_down_False_mab_virus_VRC07-523LS|TRO.11,8.76173615893437e-07,
L_goes_down_False_mab_virus_nan|1176,1.34666116514367e-08,
L_goes_down_False_mab_virus_nan|1798,6.64306162824341e-08,
L_goes_down_False_mab_virus_nan|2944,1.35975968915491e-07,
L_goes_down_False_mab_virus_nan|2946,6.52582846374668e-08,
L_goes_down_False_mab_virus_nan|3430,1.6555188603491e-07,
L_goes_down_False_mab_virus_nan|4166,6.66150932620919e-08,
L_goes_down_False_mab_virus_nan|4168,6.94166416972544e-08,
L_goes_down_False_mab_virus_nan|Ce1176_A3,9.25121869389613e-08,
L_goes_down_False_mab_virus_nan|PVO.4,3.92784659445772e-08,
L_goes_down_False_mab_virus_nan|RHPA4259.7,9.82608511499424e-08,
L_goes_down_False_mab_virus_nan|TRO.11,3.05789938258817e-08,
L_goes_down_True_mab_virus_Clinical VRC01|PVO.4,6.4440264170772e-09,
L_goes_down_True_mab_virus_PGDM1400|1176,3.04594995171609e-07,
L_goes_down_True_mab_virus_PGDM1400|1798,1.70123502863518e-07,
L_goes_down_True_mab_virus_PGDM1400|2944,6.06675621399096e-08,
L_goes_down_True_mab_virus_PGDM1400|2946,2.62283968984291e-06,
