parameter,value,CV
U_mab_virus_Clinical VRC01|PVO.4,1,
L_goes_down_False_mab_virus_VRC07-523LS|4166,3.42710244747189e-07,
L_goes_down_False_mab_virus_VRC07-523LS|4168,1.29070094671578e-07,
L_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,1.68774557389376e-05,
L_goes_down_False_mab_virus_VRC07-523LS|PVO.4,7.17317981322047e-06,
L_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,2.54351367057769e-07,
L_goes_down_False_mab_virus_VRC07-523LS|TRO.11,3.82056329759426e-05,
L_goes_down_False_mab_virus_nan|1176,8.67743994763341e-08,
L_goes_down_False_mab_virus_nan|1798,4.89645390635772e-08,
L_goes_down_False_mab_virus_nan|2944,8.45331753302514e-09,
L_goes_down_False_mab_virus_nan|2946,1.21133238980065e-08,
L_goes_down_False_mab_virus_nan|3430,2.3012161589819e-08,
L_goes_down_False_mab_virus_nan|4166,3.39785317497079e-08,
L_goes_down_False_mab_virus_nan|4168,9.15744755420784e-08,
L_goes_down_False_mab_virus_nan|Ce1176_A3,1.82683336497842e-08,
L_goes_down_False_mab_virus_nan|PVO.4,8.00510847411682e-08,
L_goes_down_False_mab_virus_nan|RHPA4259.7,1.63995821335156e-08,
L_goes_down_False_mab_virus_nan|TRO.11,6.23364378122784e-08,
L_goes_down_True_mab_virus_Clinical VRC01|PVO.4,3.9925931146654e-09,
L_goes_down_True_mab_virus_PGDM1400|1176,1.58684660998906e-07,
L_goes_down_True_mab_virus_PGDM1400|1798,3.10859300001619e-08,
L_goes_down_True_mab_virus_PGDM1400|2944,6.15694904711632e-08,
L_goes_down_True_mab_virus_PGDM1400|2946,8.78720086854507e-08,
L_goes_down_True_mab_virus_PGDM1400|3430,1.46241358408117e-06,
L_goes_down_True_mab_virus_PGDM1400|4166,8.1787152567288e-07,
L_goes_down_True_mab_virus_PGDM1400|4168,6.90623643369745e-09,
L_goes_down_True_mab_virus_PGDM1400|Ce1176_A3,6.28035429536483e-08,
L_goes_down_True_mab_virus_PGDM1400|PVO.4,2.93416893160522e-07,
