id,eta_U_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
130_bNAb_Combinations|1313842|cc|1|1|nan|2946,0,0,-4.42727e-09,-0.132412,-0.254227,0,0,0,0,-4.44089e-16,-1.87229e-08,-4.69553e-07,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|2|1|nan|2946,0,0,6.16572e-09,-0.0884695,0.581837,0,0,0,0,-3.77476e-15,4.93166e-08,-1.98284e-07,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|3|1|nan|2946,0,0,2.08314e-09,-0.0616412,0.0125677,0,0,0,0,-6.66134e-16,2.01849e-08,-5.4549e-07,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|4|1|nan|2946,0,0,1.78514e-09,-0.00113397,-0.224672,0,0,0,0,-1.9984e-15,-5.75985e-08,1.88303e-08,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|5|1|nan|2946,0,0,1.84598e-09,0.153366,0.0631353,0,0,0,0,4.66294e-15,3.56069e-08,-3.2563e-07,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|6|1|nan|2946,0,0,-2.34534e-09,-0.23717,0.763386,0,0,0,0,-2.22045e-15,1.02876e-07,-1.74849e-07,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|7|1|nan|2946,0,0,-8.16684e-09,-0.0500025,-0.629577,0,0,0,0,1.11022e-15,-1.39576e-07,-5.29233e-07,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|8|1|nan|2946,0,0,9.89061e-10,0.0954536,0.00019588,0,0,0,0,-7.77156e-15,-2.93949e-07,0.000263527,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|sample|10|nan|2946,0,0,4.47899e-09,-1.18612,5.0213,0,0,0,0,2.26485e-14,-1.14123,4.64606,0,0,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|11|nan|2946,0,0,-7.52623e-11,-2.09709,7.82842,0,0,0,0,1.19904e-14,-1.5932,5.45739,0,0,True,VRC07-523LS|2946,1313842
130_bNAb_Combinations|1313842|sample|12|nan|2946,0,0,2.06937e-09,-1.41784,6.12809,0,0,0,0,-8.10463e-15,-0.837966,4.02036,0,0,True,VRC07-523LS|2946,1313842
130_bNAb_Combinations|1313842|sample|3|nan|2946,0,0,-3.4523e-09,-2.24524,2.98743,0,0,0,0,1.16795e-13,-2.15902,2.93064,0,0,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|4|nan|2946,0,0,5.73985e-09,-3.73814,7.87469,0,0,0,0,8.4821e-14,-2.0476,2.97583,0,0,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|5|nan|2946,0,0,-1.46634e-09,-0.388593,1.50826,0,0,0,0,6.4615e-14,-0.74867,1.66131,0,0,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|6|nan|2946,0,0,1.6073e-08,-1.52231,2.08483,0,0,0,0,0,-1.49771,2.03983,0,0,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|7|nan|2946,0,0,1.40449e-09,-2.44641,10.2558,0,0,0,0,5.57332e-14,-1.75633,6.15179,0,0,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|8|nan|2946,0,0,6.33964e-09,-1.98007,7.49506,0,0,0,0,3.70814e-14,-1.3703,4.98656,0,0,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|9|nan|2946,0,0,-1.30789e-08,-1.63954,6.79251,0,0,0,0,4.996e-14,-1.54117,5.93829,0,0,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|vc|1|2|nan|2946,0,0,3.00733e-09,-0.164416,0.720926,0,0,0,0,1.55431e-15,1.38694e-08,-1.81581e-07,0,0,False,nan|2946,1313842
