parameter,value,CV
L_goes_down_True_mab_virus_nan|4166,5.64610688239384e-09,
L_goes_down_True_mab_virus_nan|4168,2.46456315830202e-09,
L_goes_down_True_mab_virus_nan|Ce1176_A3,5.73502716882148e-09,
L_goes_down_True_mab_virus_nan|PVO.4,6.31007234470191e-09,
L_goes_down_True_mab_virus_nan|RHPA4259.7,1.4408586761794e-08,
L_goes_down_True_mab_virus_nan|TRO.11,5.6722048603618e-09,
m_goes_down_False_mab_virus_Clinical VRC01|PVO.4,1.53240144492224,
m_goes_down_False_mab_virus_PGDM1400|1176,1.53246341957928,
m_goes_down_False_mab_virus_PGDM1400|1798,0.597766716575059,
m_goes_down_False_mab_virus_PGDM1400|2944,1.53243170022447,
m_goes_down_False_mab_virus_PGDM1400|2946,0.84622511946424,
m_goes_down_False_mab_virus_PGDM1400|3430,0.891394137978694,
m_goes_down_False_mab_virus_PGDM1400|4166,0.946189534567477,
m_goes_down_False_mab_virus_PGDM1400|4168,1.53243169712145,
m_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,1.53245424734712,
m_goes_down_False_mab_virus_PGDM1400|PVO.4,1.52695139071305,
m_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,1.53240164272617,
m_goes_down_False_mab_virus_PGDM1400|TRO.11,1.53249903151573,
m_goes_down_False_mab_virus_PGT121|1176,0.81425934556918,
m_goes_down_False_mab_virus_PGT121|1798,1.53239356163294,
m_goes_down_False_mab_virus_PGT121|2944,1.53222772728507,
m_goes_down_False_mab_virus_PGT121|2946,1.5355590153913,
m_goes_down_False_mab_virus_PGT121|3430,0.94854189907101,
m_goes_down_False_mab_virus_PGT121|4166,1.97166721203641,
m_goes_down_False_mab_virus_PGT121|4168,1.53253380300255,
m_goes_down_False_mab_virus_PGT121|Ce1176_A3,1.53238555652404,
m_goes_down_False_mab_virus_PGT121|PVO.4,1.68201234631714,
m_goes_down_False_mab_virus_PGT121|RHPA4259.7,1.53234853432034,
m_goes_down_False_mab_virus_PGT121|TRO.11,1.53236865124904,
m_goes_down_False_mab_virus_VRC07-523LS|1176,1.53239822604337,
m_goes_down_False_mab_virus_VRC07-523LS|1798,1.53229693841292,
m_goes_down_False_mab_virus_VRC07-523LS|2944,1.53228795710381,
m_goes_down_False_mab_virus_VRC07-523LS|2946,1.53240220499011,
m_goes_down_False_mab_virus_VRC07-523LS|3430,1.53231393631159,
m_goes_down_False_mab_virus_VRC07-523LS|4166,1.53224416085742,
m_goes_down_False_mab_virus_VRC07-523LS|4168,1.53239932151994,
m_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,1.53234071494313,
m_goes_down_False_mab_virus_VRC07-523LS|PVO.4,1.53240161094177,
m_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,1.5323825740355,
m_goes_down_False_mab_virus_VRC07-523LS|TRO.11,1.53240080996068,
m_goes_down_False_mab_virus_nan|1176,1.53237561546886,
m_goes_down_False_mab_virus_nan|1798,1.53211038394498,
m_goes_down_False_mab_virus_nan|2944,1.53238642313594,
m_goes_down_False_mab_virus_nan|2946,1.53240106012125,
m_goes_down_False_mab_virus_nan|3430,1.53239882622743,
m_goes_down_False_mab_virus_nan|4166,1.53237170922223,
m_goes_down_False_mab_virus_nan|4168,1.53239284249457,
m_goes_down_False_mab_virus_nan|Ce1176_A3,1.53241941955979,
m_goes_down_False_mab_virus_nan|PVO.4,1.53124025714352,
m_goes_down_False_mab_virus_nan|RHPA4259.7,1.53239883137162,
m_goes_down_False_mab_virus_nan|TRO.11,1.53240074877409,
m_goes_down_True_mab_virus_Clinical VRC01|PVO.4,1.53261813460258,
m_goes_down_True_mab_virus_PGDM1400|1176,1.53268011802315,
m_goes_down_True_mab_virus_PGDM1400|1798,0.59785124395472,
m_goes_down_True_mab_virus_PGDM1400|2944,1.53264839418306,
m_goes_down_True_mab_virus_PGDM1400|2946,0.846344780177974,
m_goes_down_True_mab_virus_PGDM1400|3430,0.891520185830874,
m_goes_down_True_mab_virus_PGDM1400|4166,0.946323330778945,
m_goes_down_True_mab_virus_PGDM1400|4168,1.53264839107961,
m_goes_down_True_mab_virus_PGDM1400|Ce1176_A3,1.53267094449399,
m_goes_down_True_mab_virus_PGDM1400|PVO.4,1.52716730972685,
m_goes_down_True_mab_virus_PGDM1400|RHPA4259.7,1.53261833243448,
m_goes_down_True_mab_virus_PGDM1400|TRO.11,1.53271573499532,
m_goes_down_True_mab_virus_PGT121|1176,0.814374486153185,
m_goes_down_True_mab_virus_PGT121|1798,1.53261025019853,
m_goes_down_True_mab_virus_PGT121|2944,1.53244439240081,
m_goes_down_True_mab_virus_PGT121|2946,1.53577615156882,
m_goes_down_True_mab_virus_PGT121|3430,0.948676027919278,
m_goes_down_True_mab_virus_PGT121|4166,1.97194601622269,
m_goes_down_True_mab_virus_PGT121|4168,1.53275051139901,
m_goes_down_True_mab_virus_PGT121|Ce1176_A3,1.53260224395767,
m_goes_down_True_mab_virus_PGT121|PVO.4,1.68225019177131,
m_goes_down_True_mab_virus_PGT121|RHPA4259.7,1.53256521651884,
m_goes_down_True_mab_virus_PGT121|TRO.11,1.53258533629217,
m_goes_down_True_mab_virus_VRC07-523LS|1176,1.53261491526854,
m_goes_down_True_mab_virus_VRC07-523LS|1798,1.53251361331548,
m_goes_down_True_mab_virus_VRC07-523LS|2944,1.53250463073637,
m_goes_down_True_mab_virus_VRC07-523LS|2946,1.53261889477792,
m_goes_down_True_mab_virus_VRC07-523LS|3430,1.53253061361774,
m_goes_down_True_mab_virus_VRC07-523LS|4166,1.53246082829696,
m_goes_down_True_mab_virus_VRC07-523LS|4168,1.53261601090001,
m_goes_down_True_mab_virus_VRC07-523LS|Ce1176_A3,1.53255739603592,
m_goes_down_True_mab_virus_VRC07-523LS|PVO.4,1.53261830064558,
m_goes_down_True_mab_virus_VRC07-523LS|RHPA4259.7,1.53259926104739,
m_goes_down_True_mab_virus_VRC07-523LS|TRO.11,1.53261749955123,
m_goes_down_True_mab_virus_nan|1176,1.53259230149677,
m_goes_down_True_mab_virus_nan|1798,1.53232703246775,
m_goes_down_True_mab_virus_nan|2944,1.53260311069211,
m_goes_down_True_mab_virus_nan|2946,1.53261774974717,
m_goes_down_True_mab_virus_nan|3430,1.53261551553746,
m_goes_down_True_mab_virus_nan|4166,1.53258839469778,
m_goes_down_True_mab_virus_nan|4168,1.53260953095847,
m_goes_down_True_mab_virus_nan|Ce1176_A3,1.53263611178183,
m_goes_down_True_mab_virus_nan|PVO.4,1.53145678262575,
m_goes_down_True_mab_virus_nan|RHPA4259.7,1.53261552068238,
m_goes_down_True_mab_virus_nan|TRO.11,1.53261743835598,
e_goes_down_False,1,
e_goes_down_True,1,
alpha_run_id_1200432,0.173616364137113,
alpha_run_id_1313842,0.173615747746107,
alpha_run_id_1313860,0.173614672754352,
alpha_run_id_1313884,0.173617049698013,
alpha_run_id_1313920,0.173699900207223,
alpha_run_id_1313938,0.173628396758853,
alpha_run_id_1313956,0.173616632148371,
alpha_run_id_1313974,0.173616395712855,
alpha_run_id_1313992,0.173616797044281,
alpha_run_id_1314016,0.173614245526508,
alpha_run_id_1314040,0.173520008763192,
alpha_run_id_1314058,0.173595951954398,
alpha_run_id_1342240,0.1736158700229,
alpha_run_id_1342258,0.173642407267412,
alpha_run_id_1342276,0.173683188559276,
alpha_run_id_1342294,0.17361652325808,
alpha_run_id_1342312,0.173615223346264,
alpha_run_id_1342336,0.173616233844047,
alpha_run_id_1342348,0.173619306918172,
alpha_run_id_1342372,0.173646341544277,
alpha_run_id_1342384,0.108153053130677,
alpha_run_id_1342396,0.173616203543613,
alpha_run_id_1342408,0.17363815633391,
k_run_id_1200432,3.93860921417517e-08,
k_run_id_1313842,3.93977737010856e-08,
k_run_id_1313860,3.93860562718925e-08,
k_run_id_1313884,3.93860442867339e-08,
k_run_id_1313920,3.93868994219249e-08,
k_run_id_1313938,3.9385472879944e-08,
k_run_id_1313956,3.9364434787657e-08,
k_run_id_1313974,3.93855756093316e-08,
k_run_id_1313992,3.93860611867393e-08,
k_run_id_1314016,3.93839314222392e-08,
k_run_id_1314040,3.9383546816751e-08,
k_run_id_1314058,3.93718484491295e-08,
k_run_id_1342240,3.93858259407471e-08,
k_run_id_1342258,3.93797409886903e-08,
k_run_id_1342276,3.9392521341682e-08,
k_run_id_1342294,3.93850188396556e-08,
k_run_id_1342312,3.90615667223623e-08,
k_run_id_1342336,3.93856153430367e-08,
k_run_id_1342348,3.89880706617772e-08,
k_run_id_1342372,3.93880550618305e-08,
k_run_id_1342384,3.93861516030818e-08,
k_run_id_1342396,3.93725045564692e-08,
k_run_id_1342408,3.93861519882322e-08,
omega_L,5.8978899324892e-08,5.96046447753906e-06
omega_e,2.82550337055685,5413.95023564511
a,0.00253955125394826,
b,0.185424078469027,
