parameter,value,CV
L_goes_down_False_mab_virus_Clinical VRC01|PVO.4,9.85427428021654e-08,
L_goes_down_False_mab_virus_PGDM1400|1176,2.00427706565668e-05,
L_goes_down_False_mab_virus_PGDM1400|1798,5.24517922349986e-09,
L_goes_down_False_mab_virus_PGDM1400|2944,2.34485337573568e-08,
L_goes_down_False_mab_virus_PGDM1400|2946,3.46990880574634e-07,
L_goes_down_False_mab_virus_PGDM1400|3430,3.2435301552722e-07,
L_goes_down_False_mab_virus_PGDM1400|4166,2.09395596084187e-05,
L_goes_down_False_mab_virus_PGDM1400|4168,7.52820625141237e-07,
L_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,2.80276809369259e-06,
L_goes_down_False_mab_virus_PGDM1400|PVO.4,1.30817264861233e-05,
L_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,1.83728297334392e-05,
L_goes_down_False_mab_virus_PGDM1400|TRO.11,4.50413596422444e-05,
L_goes_down_False_mab_virus_PGT121|1176,1.16986680088917e-05,
L_goes_down_False_mab_virus_PGT121|1798,3.07569558233085e-08,
L_goes_down_False_mab_virus_PGT121|2944,6.29772764080821e-07,
L_goes_down_False_mab_virus_PGT121|2946,0.00177042736961186,
L_goes_down_False_mab_virus_PGT121|3430,1.77362777136095e-06,
L_goes_down_False_mab_virus_PGT121|4166,2.63798197000823e-07,
L_goes_down_False_mab_virus_PGT121|4168,8.792013498207e-05,
L_goes_down_False_mab_virus_PGT121|Ce1176_A3,1.83470707748257e-08,
L_goes_down_False_mab_virus_PGT121|PVO.4,3.73833608809335e-06,
L_goes_down_False_mab_virus_PGT121|RHPA4259.7,1.7067472669284e-06,
L_goes_down_False_mab_virus_PGT121|TRO.11,4.94123942840203e-07,
L_goes_down_False_mab_virus_VRC07-523LS|1176,1.7532107807662e-05,
L_goes_down_False_mab_virus_VRC07-523LS|1798,4.56567732339678e-08,
L_goes_down_False_mab_virus_VRC07-523LS|2944,4.60794220786373e-06,
L_goes_down_False_mab_virus_VRC07-523LS|2946,3.43424281903168e-05,
L_goes_down_False_mab_virus_VRC07-523LS|3430,1.531708264542e-07,
L_goes_down_False_mab_virus_VRC07-523LS|4166,2.22621099259437e-08,
L_goes_down_False_mab_virus_VRC07-523LS|4168,2.63907720014876e-07,
L_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,4.90631735524753e-07,
L_goes_down_False_mab_virus_VRC07-523LS|PVO.4,3.379871219741e-08,
L_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,2.36184257041868e-08,
L_goes_down_False_mab_virus_VRC07-523LS|TRO.11,6.09113180671012e-08,
L_goes_down_False_mab_virus_nan|1176,1.07158769354329e-08,
L_goes_down_False_mab_virus_nan|1798,2.4578722889275e-08,
L_goes_down_False_mab_virus_nan|2944,1.14392874798372e-08,
L_goes_down_False_mab_virus_nan|2946,5.78107717774669e-08,
L_goes_down_False_mab_virus_nan|3430,4.06004748021042e-08,
L_goes_down_False_mab_virus_nan|4166,6.59877001028587e-09,
L_goes_down_False_mab_virus_nan|4168,9.72213036735765e-08,
L_goes_down_False_mab_virus_nan|Ce1176_A3,1.02941623626617e-07,
L_goes_down_False_mab_virus_nan|PVO.4,7.32614346385006e-08,
L_goes_down_False_mab_virus_nan|RHPA4259.7,1.36500581389831e-08,
