parameter,value,CV
L_goes_down_False_mab_virus_Clinical VRC01|PVO.4,0.00343224758368868,
L_goes_down_False_mab_virus_PGDM1400|1176,0.00343225806286111,
L_goes_down_False_mab_virus_PGDM1400|1798,0.00343118619602739,
L_goes_down_False_mab_virus_PGDM1400|2944,0.00343235462193875,
L_goes_down_False_mab_virus_PGDM1400|2946,0.00343223861582358,
L_goes_down_False_mab_virus_PGDM1400|3430,0.003432191230022,
L_goes_down_False_mab_virus_PGDM1400|4166,0.0034322888972872,
L_goes_down_False_mab_virus_PGDM1400|4168,0.00343209856155174,
L_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,0.00343198465895028,
L_goes_down_False_mab_virus_PGDM1400|PVO.4,0.00343312727416439,
L_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,0.00343195805680491,
L_goes_down_False_mab_virus_PGDM1400|TRO.11,0.00343226236918285,
L_goes_down_False_mab_virus_PGT121|1176,0.186145496398049,
L_goes_down_False_mab_virus_PGT121|1798,0.00343216724018476,
L_goes_down_False_mab_virus_PGT121|2944,0.00202534166884784,
L_goes_down_False_mab_virus_PGT121|2946,0.00343230897860008,
L_goes_down_False_mab_virus_PGT121|3430,0.00343212179787229,
L_goes_down_False_mab_virus_PGT121|4166,0.00343225659774382,
L_goes_down_False_mab_virus_PGT121|4168,0.00343191584963543,
L_goes_down_False_mab_virus_PGT121|Ce1176_A3,0.00343221553737674,
L_goes_down_False_mab_virus_PGT121|PVO.4,0.00343221727489486,
L_goes_down_False_mab_virus_PGT121|RHPA4259.7,0.00343254816739491,
L_goes_down_False_mab_virus_PGT121|TRO.11,0.00343239250803588,
L_goes_down_False_mab_virus_VRC07-523LS|1176,0.00633541681282892,
L_goes_down_False_mab_virus_VRC07-523LS|1798,0.00343182806226198,
L_goes_down_False_mab_virus_VRC07-523LS|2944,0.00343224483703421,
L_goes_down_False_mab_virus_VRC07-523LS|2946,0.00343210843813918,
L_goes_down_False_mab_virus_VRC07-523LS|3430,0.00343224744344307,
L_goes_down_False_mab_virus_VRC07-523LS|4166,0.00343230859249201,
L_goes_down_False_mab_virus_VRC07-523LS|4168,0.00343222663660037,
L_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,0.00343165563140546,
L_goes_down_False_mab_virus_VRC07-523LS|PVO.4,0.00343225544158104,
L_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,0.00343237342575099,
L_goes_down_False_mab_virus_VRC07-523LS|TRO.11,0.00343208111371882,
L_goes_down_False_mab_virus_nan|1176,0.00343218561591657,
L_goes_down_False_mab_virus_nan|1798,0.00343221336562594,
L_goes_down_False_mab_virus_nan|2944,0.00343223958854958,
L_goes_down_False_mab_virus_nan|2946,0.00343226253974225,
L_goes_down_False_mab_virus_nan|3430,0.00343216763319749,
L_goes_down_False_mab_virus_nan|4166,0.00343224829770429,
L_goes_down_False_mab_virus_nan|4168,0.00343224213172453,
L_goes_down_False_mab_virus_nan|Ce1176_A3,0.00343224726581068,
L_goes_down_False_mab_virus_nan|PVO.4,0.00343223959388702,
L_goes_down_False_mab_virus_nan|RHPA4259.7,0.0034322478261853,
L_goes_down_False_mab_virus_nan|TRO.11,0.00343226393071537,
L_goes_down_True_mab_virus_Clinical VRC01|PVO.4,0.0034330562444849,
L_goes_down_True_mab_virus_PGDM1400|1176,0.00343306672612629,
L_goes_down_True_mab_virus_PGDM1400|1798,0.00343199460675348,
L_goes_down_True_mab_virus_PGDM1400|2944,0.0034331633079539,
L_goes_down_True_mab_virus_PGDM1400|2946,0.0034330472745069,
L_goes_down_True_mab_virus_PGDM1400|3430,0.00343299987754091,
L_goes_down_True_mab_virus_PGDM1400|4166,0.00343309756781718,
L_goes_down_True_mab_virus_PGDM1400|4168,0.00343290718723733,
L_goes_down_True_mab_virus_PGDM1400|Ce1176_A3,0.00343279325779964,
L_goes_down_True_mab_virus_PGDM1400|PVO.4,0.00343393614222165,
L_goes_down_True_mab_virus_PGDM1400|RHPA4259.7,0.00343276664938663,
L_goes_down_True_mab_virus_PGDM1400|TRO.11,0.00343307103346262,
L_goes_down_True_mab_virus_PGT121|1176,0.186189353538788,
L_goes_down_True_mab_virus_PGT121|1798,0.0034329758820515,
L_goes_down_True_mab_virus_PGT121|2944,0.00202581885307381,
L_goes_down_True_mab_virus_PGT121|2946,0.00343311765386135,
L_goes_down_True_mab_virus_PGT121|3430,0.00343293042903251,
L_goes_down_True_mab_virus_PGT121|4166,0.00343306526066381,
L_goes_down_True_mab_virus_PGT121|4168,0.00343272443227285,
L_goes_down_True_mab_virus_PGT121|Ce1176_A3,0.00343302419062262,
L_goes_down_True_mab_virus_PGT121|PVO.4,0.00343302592855011,
L_goes_down_True_mab_virus_PGT121|RHPA4259.7,0.00343335689901069,
L_goes_down_True_mab_virus_PGT121|TRO.11,0.00343320120297725,
L_goes_down_True_mab_virus_VRC07-523LS|1176,0.00633690947997466,
L_goes_down_True_mab_virus_VRC07-523LS|1798,0.00343263662421611,
L_goes_down_True_mab_virus_VRC07-523LS|2944,0.0034330534971833,
L_goes_down_True_mab_virus_VRC07-523LS|2946,0.00343291706615176,
L_goes_down_True_mab_virus_VRC07-523LS|3430,0.00343305610420625,
L_goes_down_True_mab_virus_VRC07-523LS|4166,0.00343311726766232,
L_goes_down_True_mab_virus_VRC07-523LS|4168,0.00343303529246131,
L_goes_down_True_mab_virus_VRC07-523LS|Ce1176_A3,0.00343246415273371,
L_goes_down_True_mab_virus_VRC07-523LS|PVO.4,0.00343306410422863,
L_goes_down_True_mab_virus_VRC07-523LS|RHPA4259.7,0.00343318211619644,
L_goes_down_True_mab_virus_VRC07-523LS|TRO.11,0.00343288973529358,
L_goes_down_True_mab_virus_nan|1176,0.00343299426211276,
L_goes_down_True_mab_virus_nan|1798,0.00343302201836015,
L_goes_down_True_mab_virus_nan|2944,0.00343304824746209,
L_goes_down_True_mab_virus_nan|2946,0.00343307120406221,
L_goes_down_True_mab_virus_nan|3430,0.00343297627515683,
L_goes_down_True_mab_virus_nan|4166,0.00343305695866873,
L_goes_down_True_mab_virus_nan|4168,0.00343305079123623,
L_goes_down_True_mab_virus_nan|Ce1176_A3,0.003433055926532,
L_goes_down_True_mab_virus_nan|PVO.4,0.00343304825280078,
L_goes_down_True_mab_virus_nan|RHPA4259.7,0.00343305648703864,
L_goes_down_True_mab_virus_nan|TRO.11,0.00343307259536306,
m_goes_down_False_mab_virus_Clinical VRC01|PVO.4,1.24867729630892,
m_goes_down_False_mab_virus_PGDM1400|1176,0.344051863356216,
m_goes_down_False_mab_virus_PGDM1400|1798,0.677793889406773,
m_goes_down_False_mab_virus_PGDM1400|2944,0.238827873424398,
m_goes_down_False_mab_virus_PGDM1400|2946,3.00095611837461,
m_goes_down_False_mab_virus_PGDM1400|3430,0.303345252093312,
m_goes_down_False_mab_virus_PGDM1400|4166,0.337403474032443,
