parameter,value,CV
L_goes_down_True_mab_virus_nan|4166,1.37498739987901e-09,
L_goes_down_True_mab_virus_nan|4168,1.35607682416084e-09,
L_goes_down_True_mab_virus_nan|Ce1176_A3,1.66203293431715e-09,
L_goes_down_True_mab_virus_nan|PVO.4,6.35249821272494e-10,
L_goes_down_True_mab_virus_nan|RHPA4259.7,1.67430463231162e-09,
L_goes_down_True_mab_virus_nan|TRO.11,7.41424213414187e-10,
m_goes_down_False_mab_virus_Clinical VRC01|PVO.4,0.666684168728276,
m_goes_down_False_mab_virus_PGDM1400|1176,0.709288692143258,
m_goes_down_False_mab_virus_PGDM1400|1798,0.373689408120654,
m_goes_down_False_mab_virus_PGDM1400|2944,50.3257249980961,
m_goes_down_False_mab_virus_PGDM1400|2946,0.521317668334008,
m_goes_down_False_mab_virus_PGDM1400|3430,0.951094637572658,
m_goes_down_False_mab_virus_PGDM1400|4166,1.20681322496991,
m_goes_down_False_mab_virus_PGDM1400|4168,0.183063868707238,
m_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,0.269706080555182,
m_goes_down_False_mab_virus_PGDM1400|PVO.4,0.361875366439334,
m_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,0.800487685778353,
m_goes_down_False_mab_virus_PGDM1400|TRO.11,0.587625596008263,
m_goes_down_False_mab_virus_PGT121|1176,0.338779028420172,
m_goes_down_False_mab_virus_PGT121|1798,6.11622435654321,
m_goes_down_False_mab_virus_PGT121|2944,14.7352916953631,
m_goes_down_False_mab_virus_PGT121|2946,0.780749319571606,
m_goes_down_False_mab_virus_PGT121|3430,0.591215011244624,
m_goes_down_False_mab_virus_PGT121|4166,18.7674418841955,
m_goes_down_False_mab_virus_PGT121|4168,0.47095540196035,
m_goes_down_False_mab_virus_PGT121|Ce1176_A3,5.32185047465113,
m_goes_down_False_mab_virus_PGT121|PVO.4,1.36682824092051,
m_goes_down_False_mab_virus_PGT121|RHPA4259.7,12.2676793007897,
m_goes_down_False_mab_virus_PGT121|TRO.11,12.9617520711864,
m_goes_down_False_mab_virus_VRC07-523LS|1176,0.855226632624665,
m_goes_down_False_mab_virus_VRC07-523LS|1798,0.83464132647034,
