parameter,value,CV
U_goes_down_False_mab_virus_Clinical VRC01|PVO.4,1,
L_goes_down_False_mab_virus_PGDM1400|1176,1.3316423810309e-05,
L_goes_down_False_mab_virus_PGDM1400|1798,4.88174262164521e-06,
L_goes_down_False_mab_virus_PGDM1400|2944,5.51084733884347e-06,
L_goes_down_False_mab_virus_PGDM1400|2946,6.92178260889007e-06,
L_goes_down_False_mab_virus_PGDM1400|3430,1.57765162799827e-06,
L_goes_down_False_mab_virus_PGDM1400|4166,0.000105970854361303,
L_goes_down_False_mab_virus_PGDM1400|4168,2.32909239252222e-07,
L_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,1.47675256315082e-06,
L_goes_down_False_mab_virus_PGDM1400|PVO.4,3.20309865248866e-06,
L_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,1.19327483863742e-06,
L_goes_down_False_mab_virus_PGDM1400|TRO.11,1.09787625577341e-06,
L_goes_down_False_mab_virus_PGT121|1176,3.81100393824225e-07,
L_goes_down_False_mab_virus_PGT121|1798,1.0432941271846e-07,
L_goes_down_False_mab_virus_PGT121|2944,9.35723621928183e-07,
L_goes_down_False_mab_virus_PGT121|2946,1.47084409351836e-07,
L_goes_down_False_mab_virus_PGT121|3430,6.42191688960535e-06,
L_goes_down_False_mab_virus_PGT121|4166,5.14284918080904e-05,
L_goes_down_False_mab_virus_PGT121|4168,1.99221905640467e-05,
L_goes_down_False_mab_virus_PGT121|Ce1176_A3,4.1040976567624e-06,
L_goes_down_False_mab_virus_PGT121|PVO.4,0.00108795340956722,
L_goes_down_False_mab_virus_PGT121|RHPA4259.7,4.03482398423597e-06,
L_goes_down_False_mab_virus_PGT121|TRO.11,0.000827547995952928,
L_goes_down_False_mab_virus_VRC07-523LS|1176,6.78575530563332e-06,
L_goes_down_False_mab_virus_VRC07-523LS|1798,3.10621362287802e-06,
L_goes_down_False_mab_virus_VRC07-523LS|2944,1.09963099240131e-05,
L_goes_down_False_mab_virus_VRC07-523LS|2946,2.67520355130658e-05,
L_goes_down_False_mab_virus_VRC07-523LS|3430,1.19844827975874e-06,
L_goes_down_False_mab_virus_VRC07-523LS|4166,8.488416645773e-07,
L_goes_down_False_mab_virus_VRC07-523LS|4168,1.0968977256793e-06,
L_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,1.36338289735905e-05,
L_goes_down_False_mab_virus_VRC07-523LS|PVO.4,1.68815039990949e-06,
L_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,8.78340508684499e-08,
L_goes_down_False_mab_virus_VRC07-523LS|TRO.11,0.000161262120023054,
L_goes_down_False_mab_virus_nan|1176,1.1945871851314e-07,
L_goes_down_False_mab_virus_nan|1798,5.26100355127683e-08,
L_goes_down_False_mab_virus_nan|2944,7.36892214370309e-09,
L_goes_down_False_mab_virus_nan|2946,1.02085756158114e-08,
L_goes_down_False_mab_virus_nan|3430,2.81914365830682e-08,
L_goes_down_False_mab_virus_nan|4166,2.10849649324608e-08,
L_goes_down_False_mab_virus_nan|4168,1.3562605728009e-07,
L_goes_down_False_mab_virus_nan|Ce1176_A3,2.59829136788025e-08,
