id,eta_U_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
130_bNAb_Combinations|1313842|cc|1|1|nan|2946,6.78897e-10,-4.46546e-10,2.58076e-09,-3.04038e-09,-2.47704e-09,0,0,2.61982e-12,1.84759e-11,2.18803e-12,-2.57625e-11,3.79963e-12,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|2|1|nan|2946,-5.64419e-10,-1.41893e-09,-1.46016e-09,-5.49267e-09,-3.61027e-09,0,0,1.72094e-12,-1.65468e-12,-3.3531e-11,-2.6656e-11,-1.1477e-11,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|3|1|nan|2946,-1.7706e-09,2.357e-09,-2.5563e-09,7.18804e-09,-5.83184e-10,0,0,3.68319e-12,-2.43272e-12,8.42126e-12,3.61933e-11,2.47802e-11,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|4|1|nan|2946,-4.08376e-09,-3.3685e-09,-2.50376e-09,-8.88542e-09,-4.53238e-09,0,0,3.65058e-12,2.87326e-12,-3.35216e-11,-1.47402e-11,4.22062e-12,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|5|1|nan|2946,-4.15409e-09,-2.98249e-09,-8.45705e-10,-2.3787e-09,-1.94553e-10,0,0,-1.06389e-11,-1.26033e-12,-4.13469e-12,-1.59543e-11,-3.05977e-11,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|6|1|nan|2946,3.13995e-09,1.49035e-09,-8.21222e-10,6.64767e-09,1.38873e-09,0,0,-9.17863e-12,3.80052e-12,1.00771e-11,-1.95932e-11,1.2589e-11,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|7|1|nan|2946,-1.54055e-09,2.86409e-09,-2.37774e-09,1.76968e-09,2.15607e-10,0,0,2.38562e-12,-2.30385e-11,3.03848e-11,3.12177e-11,1.08908e-11,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|8|1|nan|2946,2.36029e-10,8.18199e-11,6.04274e-10,9.04481e-09,2.37516e-09,0,0,2.76584e-12,-1.25864e-11,-3.79541e-12,2.23794e-11,7.26352e-12,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|sample|10|nan|2946,2.33469e-09,2.72477e-09,1.11793e-09,-3.65777e-09,4.21607e-09,0,0,-2.05058e-11,8.65352e-12,1.89484e-11,2.45355e-11,9.41824e-12,0,0,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|11|nan|2946,3.46079e-09,5.01726e-10,5.72903e-10,-2.26372e-09,1.97544e-09,0,0,3.19045e-11,1.27374e-11,6.10456e-12,4.34239e-11,1.06812e-11,0,0,True,VRC07-523LS|2946,1313842
