parameter,value,CV
U_goes_down_False_mab_virus_Clinical VRC01|PVO.4,1,
L_goes_down_False_mab_virus_PGDM1400|1176,1.17138125216924e-06,
L_goes_down_False_mab_virus_PGDM1400|1798,4.47324534943443e-08,
L_goes_down_False_mab_virus_PGDM1400|2944,0.000305957425423045,
L_goes_down_False_mab_virus_PGDM1400|2946,5.43637878493657e-09,
L_goes_down_False_mab_virus_PGDM1400|3430,4.46722556049459e-05,
L_goes_down_False_mab_virus_PGDM1400|4166,6.79430346013405e-06,
L_goes_down_False_mab_virus_PGDM1400|4168,4.40926255705258e-07,
L_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,2.97597032559043e-05,
L_goes_down_False_mab_virus_PGDM1400|PVO.4,1.11259392085248e-06,
L_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,6.63981523396875e-07,
L_goes_down_False_mab_virus_PGDM1400|TRO.11,1.01336509895759e-06,
L_goes_down_False_mab_virus_PGT121|1176,1.05474617537319e-05,
L_goes_down_False_mab_virus_PGT121|1798,1.39540747249758e-07,
L_goes_down_False_mab_virus_PGT121|2944,4.36929960376547e-07,
L_goes_down_False_mab_virus_PGT121|2946,4.51741242041995e-07,
L_goes_down_False_mab_virus_PGT121|3430,8.40235027918483e-07,
L_goes_down_False_mab_virus_PGT121|4166,1.08284616845245e-06,
L_goes_down_False_mab_virus_PGT121|4168,1.066527678476e-07,
L_goes_down_False_mab_virus_PGT121|Ce1176_A3,1.6203471895362e-08,
L_goes_down_False_mab_virus_PGT121|PVO.4,1.12682769072505e-05,
L_goes_down_False_mab_virus_PGT121|RHPA4259.7,6.84124034265656e-07,
L_goes_down_False_mab_virus_PGT121|TRO.11,1.52514712645622e-06,
L_goes_down_False_mab_virus_VRC07-523LS|1176,1.34535843349e-05,
L_goes_down_False_mab_virus_VRC07-523LS|1798,1.32409785562019e-08,
L_goes_down_False_mab_virus_VRC07-523LS|2944,5.5388446562254e-08,
L_goes_down_False_mab_virus_VRC07-523LS|2946,5.62183991816951e-08,
L_goes_down_False_mab_virus_VRC07-523LS|3430,3.42872950595929e-07,
