parameter,value,CV
L_goes_down_False_mab_virus_Clinical VRC01|PVO.4,1.78488200394685e-07,
L_goes_down_False_mab_virus_PGDM1400|1176,2.96281418951073e-07,
L_goes_down_False_mab_virus_PGDM1400|1798,3.86376262806669e-07,
L_goes_down_False_mab_virus_PGDM1400|2944,1.58023492235451e-06,
L_goes_down_False_mab_virus_PGDM1400|2946,8.07120302456164e-09,
L_goes_down_False_mab_virus_PGDM1400|3430,5.48475305451217e-06,
L_goes_down_False_mab_virus_PGDM1400|4166,2.6864049675005e-08,
L_goes_down_False_mab_virus_PGDM1400|4168,3.7719555664053e-06,
L_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,8.11388272948298e-06,
L_goes_down_False_mab_virus_PGDM1400|PVO.4,7.23864653514875e-07,
L_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,6.69206183087023e-08,
L_goes_down_False_mab_virus_PGDM1400|TRO.11,4.88606074720724e-06,
L_goes_down_False_mab_virus_PGT121|1176,1.5325981112435e-06,
L_goes_down_False_mab_virus_PGT121|1798,2.25953374272527e-07,
L_goes_down_False_mab_virus_PGT121|2944,1.5020139509023e-06,
L_goes_down_False_mab_virus_PGT121|2946,1.80176434806275e-07,
L_goes_down_False_mab_virus_PGT121|3430,2.3037601039792e-07,
L_goes_down_False_mab_virus_PGT121|4166,1.89551636646661e-07,
L_goes_down_False_mab_virus_PGT121|4168,2.13099036821113e-09,
L_goes_down_False_mab_virus_PGT121|Ce1176_A3,8.72100903413441e-09,
L_goes_down_False_mab_virus_PGT121|PVO.4,3.60048976064533e-06,
L_goes_down_False_mab_virus_PGT121|RHPA4259.7,1.49930682504674e-06,
L_goes_down_False_mab_virus_PGT121|TRO.11,4.87303044393977e-08,
L_goes_down_False_mab_virus_VRC07-523LS|1176,5.70484464270587e-07,
L_goes_down_False_mab_virus_VRC07-523LS|1798,5.00841464003847e-08,
L_goes_down_False_mab_virus_VRC07-523LS|2944,3.25675344220542e-07,
L_goes_down_False_mab_virus_VRC07-523LS|2946,3.92960765603831e-08,
L_goes_down_False_mab_virus_VRC07-523LS|3430,6.99082991371027e-08,
L_goes_down_False_mab_virus_VRC07-523LS|4166,4.01597518735533e-08,
L_goes_down_False_mab_virus_VRC07-523LS|4168,1.08064163146576e-08,
L_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,8.56813951498879e-08,
L_goes_down_False_mab_virus_VRC07-523LS|PVO.4,8.06752067272717e-07,
L_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,1.55634547963147e-06,
L_goes_down_False_mab_virus_VRC07-523LS|TRO.11,3.67676554409914e-05,
L_goes_down_False_mab_virus_nan|1176,2.74166834407435e-08,
L_goes_down_False_mab_virus_nan|1798,4.5699170352522e-08,
