parameter,value,CV
L_goes_down_False,4.51769042032355e-10,
L_goes_down_True,0.000367741865618916,
e_goes_down_False_mab_virus_Clinical VRC01|PVO.4,2.59013483680189,
e_goes_down_False_mab_virus_PGDM1400|1176,2.59028728288465,
e_goes_down_False_mab_virus_PGDM1400|1798,2.58923972618436,
e_goes_down_False_mab_virus_PGDM1400|2944,416.108008637433,
e_goes_down_False_mab_virus_PGDM1400|2946,2.58986635629114,
e_goes_down_False_mab_virus_PGDM1400|3430,2.59030285998542,
e_goes_down_False_mab_virus_PGDM1400|4166,2.5903360666137,
e_goes_down_False_mab_virus_PGDM1400|4168,0.157836601790973,
e_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,0.43697725992856,
e_goes_down_False_mab_virus_PGDM1400|PVO.4,0.735367319805773,
e_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,2.59002061193758,
e_goes_down_False_mab_virus_PGDM1400|TRO.11,2.59025821495865,
e_goes_down_False_mab_virus_PGT121|1176,2.58994307339509,
e_goes_down_False_mab_virus_PGT121|1798,2.59002175599514,
e_goes_down_False_mab_virus_PGT121|2944,2.59032029171469,
e_goes_down_False_mab_virus_PGT121|2946,2.59002672863036,
e_goes_down_False_mab_virus_PGT121|3430,2.58992913333669,
e_goes_down_False_mab_virus_PGT121|4166,2.59031215701532,
e_goes_down_False_mab_virus_PGT121|4168,2.59011869987327,
e_goes_down_False_mab_virus_PGT121|Ce1176_A3,2.59030101905818,
e_goes_down_False_mab_virus_PGT121|PVO.4,2.59004724929299,
e_goes_down_False_mab_virus_PGT121|RHPA4259.7,2.59008690281165,
e_goes_down_False_mab_virus_PGT121|TRO.11,50.9944597212815,
e_goes_down_False_mab_virus_VRC07-523LS|1176,2.59012801196366,
e_goes_down_False_mab_virus_VRC07-523LS|1798,2.58936133121548,
e_goes_down_False_mab_virus_VRC07-523LS|2944,2.59025202367748,
e_goes_down_False_mab_virus_VRC07-523LS|2946,2.59012818739327,
e_goes_down_False_mab_virus_VRC07-523LS|3430,2.59012433190867,
e_goes_down_False_mab_virus_VRC07-523LS|4166,2.5900863291818,
e_goes_down_False_mab_virus_VRC07-523LS|4168,2.58993256193016,
e_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,2.5899264008069,
e_goes_down_False_mab_virus_VRC07-523LS|PVO.4,2.59008063840945,
e_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,2.59007203067618,
e_goes_down_False_mab_virus_VRC07-523LS|TRO.11,2.58998626667435,
e_goes_down_False_mab_virus_nan|1176,2.59001451063207,
e_goes_down_False_mab_virus_nan|1798,2.59011173327996,
e_goes_down_False_mab_virus_nan|2944,2.59010603296098,
e_goes_down_False_mab_virus_nan|2946,2.58977585965464,
e_goes_down_False_mab_virus_nan|3430,2.58999006707594,
e_goes_down_False_mab_virus_nan|4166,2.59011284194794,
e_goes_down_False_mab_virus_nan|4168,2.59011997791968,
e_goes_down_False_mab_virus_nan|Ce1176_A3,2.59011298834714,
e_goes_down_False_mab_virus_nan|PVO.4,2.59021876853079,
e_goes_down_False_mab_virus_nan|RHPA4259.7,2.59007859496423,
e_goes_down_False_mab_virus_nan|TRO.11,2.59009348294934,
e_goes_down_True_mab_virus_Clinical VRC01|PVO.4,2.59012752870172,
e_goes_down_True_mab_virus_PGDM1400|1176,2.59027997435435,
e_goes_down_True_mab_virus_PGDM1400|1798,2.58923242060976,
e_goes_down_True_mab_virus_PGDM1400|2944,416.106834583108,
e_goes_down_True_mab_virus_PGDM1400|2946,2.58985904894849,
e_goes_down_True_mab_virus_PGDM1400|3430,2.59029555141117,
e_goes_down_True_mab_virus_PGDM1400|4166,2.59032875794576,
e_goes_down_True_mab_virus_PGDM1400|4168,0.157836156452885,
