rep,id,U,L,m,e,s,alpha,k,goes_down,mab_virus,run_id
1,130_bNAb_Combinations|1313842|cc|1|1|nan|2946,1,0.00362869,0.7028,7.57557,12.7601,0.291509,0.450367,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|2|1|nan|2946,1,0.00362869,0.7028,0.173971,12.7601,0.291509,0.450367,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|3|1|nan|2946,1,0.00362869,0.7028,0.0872877,12.7601,0.291509,0.450367,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|4|1|nan|2946,1,0.00362869,0.7028,7.37156,12.7601,0.291509,0.450367,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|5|1|nan|2946,1,0.00362869,0.7028,20.3455,12.7601,0.291509,0.450367,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|6|1|nan|2946,1,0.00362869,0.7028,559.797,12.7601,0.291509,0.450367,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|7|1|nan|2946,1,0.00362869,0.7028,10.5202,12.7601,0.291509,0.450367,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|8|1|nan|2946,1,0.00362869,0.7028,528.093,12.7601,0.291509,0.450367,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|sample|10|nan|2946,1,0.00362873,0.702841,0.123607,7.9855,0.291509,0.450367,True,PGT121|2946,1313842
1,130_bNAb_Combinations|1313842|sample|11|nan|2946,1,0.00362916,0.702816,0.093213,8.60375,0.291509,0.450367,True,VRC07-523LS|2946,1313842
1,130_bNAb_Combinations|1313842|sample|12|nan|2946,1,0.00362916,0.702816,0.102509,8.60375,0.291509,0.450367,True,VRC07-523LS|2946,1313842
1,130_bNAb_Combinations|1313842|sample|3|nan|2946,1,0.00362892,0.702847,0.0131547,13.2647,0.291509,0.450367,True,PGDM1400|2946,1313842
1,130_bNAb_Combinations|1313842|sample|4|nan|2946,1,0.00362892,0.702847,0.0122212,13.2647,0.291509,0.450367,True,PGDM1400|2946,1313842
