"id","U","L","m","e","alpha","k"
"130_bNAb_Combinations|1313842|cc|1|1|nan|2946",1,2.37013783283419e-16,0.539417857123407,53.4304751846092,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313842|cc|2|1|nan|2946",1,2.37013783283419e-16,0.539417856357913,21.7619704476599,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313842|cc|3|1|nan|2946",1,2.37013783283419e-16,0.539417857165872,53.3768070497213,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313842|cc|4|1|nan|2946",1,2.37013783283419e-16,0.53941785643235,147.926172831736,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313842|cc|5|1|nan|2946",1,2.37013783283419e-16,0.539417858705986,36.3052128212654,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313842|cc|6|1|nan|2946",1,2.37013783283419e-16,0.539417858282595,62.0388264475896,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313842|cc|7|1|nan|2946",1,2.37013783283419e-16,0.539417859437266,34.4573028022843,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313842|cc|8|1|nan|2946",1,2.37013783283419e-16,0.539417856982312,69.4068572552869,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313842|sample|10|nan|2946",1,2.3699955710891e-16,1.38776708874518,3.04807421206539,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313842|sample|11|nan|2946",1,2.3699955710891e-16,1.91688748769121,1.48077573335927,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313842|sample|12|nan|2946",1,2.3699955710891e-16,1.91688749173037,1.68298991138082,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313842|sample|3|nan|2946",1,2.3699955710891e-16,0.771797485834353,0.94568515812112,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313842|sample|4|nan|2946",1,2.3699955710891e-16,0.771797483235376,1.22579391743912,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313842|sample|5|nan|2946",1,2.3699955710891e-16,0.771797480516929,1.10226795542875,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313842|sample|6|nan|2946",1,2.3699955710891e-16,0.771797478208023,0.88656464991807,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313842|sample|7|nan|2946",1,2.3699955710891e-16,1.38776709402869,2.44245671010128,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313842|sample|8|nan|2946",1,2.3699955710891e-16,1.38776709361073,2.57723360403691,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313842|sample|9|nan|2946",1,2.3699955710891e-16,1.3877671023591,3.12576778843238,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313842|vc|1|2|nan|2946",1,2.37013783283419e-16,0.539417857734436,37.5029260815095,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313842|vc|2|2|nan|2946",1,2.37013783283419e-16,0.539417858930624,232.584695029122,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313842|vc|3|2|nan|2946",1,2.37013783283419e-16,0.539417857391918,42.0670245720879,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313842|vc|4|2|nan|2946",1,2.37013783283419e-16,0.539417859437012,23.9211538263715,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313842|vc|5|2|nan|2946",1,2.37013783283419e-16,0.539417859794385,121.722396089564,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313842|vc|6|2|nan|2946",1,2.37013783283419e-16,0.539417856752095,237.199898324214,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313842|vc|7|2|nan|2946",1,2.37013783283419e-16,0.539417859421545,146.149279007283,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313842|vc|8|2|nan|2946",1,2.37013783283419e-16,0.539417861026982,47.4971658919939,0.31996965156819,0.411768195948174
"130_bNAb_Combinations|1313860|cc|1|1|PVO.4|5024",1,2.37013783283419e-16,0.427542542606168,29.1872508087519,0.213452104234056,0.36667937134991
"130_bNAb_Combinations|1313860|cc|2|1|PVO.4|5024",1,2.37013783283419e-16,0.427542540839438,52.7318196318356,0.213452104234056,0.36667937134991
"130_bNAb_Combinations|1313860|cc|3|1|PVO.4|5024",1,2.37013783283419e-16,0.427542542471369,67.5679783221387,0.213452104234056,0.36667937134991
"130_bNAb_Combinations|1313860|cc|4|1|PVO.4|5024",1,2.37013783283419e-16,0.427542540859933,366.959324754892,0.213452104234056,0.36667937134991
"130_bNAb_Combinations|1313860|cc|5|1|PVO.4|5024",1,2.37013783283419e-16,0.427542542972052,55.042247685817,0.213452104234056,0.36667937134991
"130_bNAb_Combinations|1313860|cc|6|1|PVO.4|5024",1,2.37013783283419e-16,0.42754254235966,51.605563734847,0.213452104234056,0.36667937134991
"130_bNAb_Combinations|1313860|cc|7|1|PVO.4|5024",1,2.37013783283419e-16,0.427542540852793,2870.18262736697,0.213452104234056,0.36667937134991
"130_bNAb_Combinations|1313860|cc|8|1|PVO.4|5024",1,2.37013783283419e-16,0.427542541304745,16.1043743887873,0.213452104234056,0.36667937134991
"130_bNAb_Combinations|1313860|sample|10|PVO.4|5024",1,2.3699955710891e-16,1.53293593979454,7.25362328580096,0.213452104234056,0.36667937134991
"130_bNAb_Combinations|1313860|sample|11|PVO.4|5024",1,2.3699955710891e-16,1.8020983156504,7.40232896003327,0.213452104234056,0.36667937134991
"130_bNAb_Combinations|1313860|sample|12|PVO.4|5024",1,2.3699955710891e-16,1.80209832930805,8.04054040287415,0.213452104234056,0.36667937134991
"130_bNAb_Combinations|1313860|sample|3|PVO.4|5024",1,2.3699955710891e-16,1.29349363668386,0.994034468284708,0.213452104234056,0.36667937134991
"130_bNAb_Combinations|1313860|sample|4|PVO.4|5024",1,2.3699955710891e-16,1.29349363416186,0.950295638739745,0.213452104234056,0.36667937134991
"130_bNAb_Combinations|1313860|sample|5|PVO.4|5024",1,2.3699955710891e-16,1.29349362642677,1.07751062401614,0.213452104234056,0.36667937134991
"130_bNAb_Combinations|1313860|sample|6|PVO.4|5024",1,2.3699955710891e-16,1.29349363090237,1.24208385811385,0.213452104234056,0.36667937134991
