parameter,value,CV
L_goes_down_False,2.40292826421586e-16,
L_goes_down_True,2.40278647689014e-16,
m_goes_down_False_mab_virus_Clinical VRC01|PVO.4,0.635962126680055,
m_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|1176,0.598661637055439,
m_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|1798,0.652854087626991,
m_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|2944,0.525304750143139,
m_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|2946,0.677263236337815,
m_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|3430,0.495264652443318,
m_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|4166,0.67537036113113,
m_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|4168,0.470391473105905,
m_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|Ce1176_A3,0.641730282704185,
m_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|PVO.4,0.733098285914592,
m_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|RHPA4259.7,0.774679358229334,
m_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|TRO.11,0.767722563525604,
m_goes_down_False_mab_virus_PGDM1400|1176,0.288454003122085,
m_goes_down_False_mab_virus_PGDM1400|1798,0.226573739660344,
m_goes_down_False_mab_virus_PGDM1400|2944,0.546431555054519,
m_goes_down_False_mab_virus_PGDM1400|2946,0.331726930048371,
m_goes_down_False_mab_virus_PGDM1400|3430,0.450849974545641,
m_goes_down_False_mab_virus_PGDM1400|4166,0.428094480790462,
m_goes_down_False_mab_virus_PGDM1400|4168,0.487149206744087,
m_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,0.207089839440295,
m_goes_down_False_mab_virus_PGDM1400|PVO.4,0.555957586672839,
m_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,0.669683362702075,
m_goes_down_False_mab_virus_PGDM1400|TRO.11,0.496304869539601,
m_goes_down_False_mab_virus_PGT121 + VRC07-523LS|1176,0.546489299415545,
m_goes_down_False_mab_virus_PGT121 + VRC07-523LS|1798,0.714820168674578,
m_goes_down_False_mab_virus_PGT121 + VRC07-523LS|2944,0.754021712613195,
m_goes_down_False_mab_virus_PGT121 + VRC07-523LS|2946,0.713954590485659,
m_goes_down_False_mab_virus_PGT121 + VRC07-523LS|3430,0.615100667798671,
m_goes_down_False_mab_virus_PGT121 + VRC07-523LS|4166,0.783896992629432,
m_goes_down_False_mab_virus_PGT121 + VRC07-523LS|4168,0.450069873112043,
m_goes_down_False_mab_virus_PGT121 + VRC07-523LS|Ce1176_A3,0.725195353747081,
m_goes_down_False_mab_virus_PGT121 + VRC07-523LS|PVO.4,0.705364759629034,
m_goes_down_False_mab_virus_PGT121 + VRC07-523LS|RHPA4259.7,0.704068556959173,
m_goes_down_False_mab_virus_PGT121 + VRC07-523LS|TRO.11,0.68346006033821,
m_goes_down_False_mab_virus_PGT121|1176,0.30150588753152,
m_goes_down_False_mab_virus_PGT121|1798,0.632843806444086,
m_goes_down_False_mab_virus_PGT121|2944,0.63236990224484,
m_goes_down_False_mab_virus_PGT121|2946,0.596477346364568,
m_goes_down_False_mab_virus_PGT121|3430,0.394837652153362,
m_goes_down_False_mab_virus_PGT121|4166,0.738415592542155,
m_goes_down_False_mab_virus_PGT121|4168,0.196845325303102,
m_goes_down_False_mab_virus_PGT121|Ce1176_A3,0.769316373664834,
m_goes_down_False_mab_virus_PGT121|PVO.4,0.658872487181423,
m_goes_down_False_mab_virus_PGT121|RHPA4259.7,0.74332335528709,
m_goes_down_False_mab_virus_PGT121|TRO.11,0.748637083972998,
m_goes_down_False_mab_virus_VRC07-523LS|1176,0.561656035351329,
m_goes_down_False_mab_virus_VRC07-523LS|1798,0.837049852217405,
m_goes_down_False_mab_virus_VRC07-523LS|2944,0.69668419032364,
m_goes_down_False_mab_virus_VRC07-523LS|2946,0.823899024580183,
m_goes_down_False_mab_virus_VRC07-523LS|3430,0.734969897407234,
m_goes_down_False_mab_virus_VRC07-523LS|4166,0.748700291770826,
m_goes_down_False_mab_virus_VRC07-523LS|4168,0.420965416198878,
m_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,0.76111984048042,
m_goes_down_False_mab_virus_VRC07-523LS|PVO.4,0.774561398042718,
m_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,0.686430698485012,
m_goes_down_False_mab_virus_VRC07-523LS|TRO.11,0.808481436610795,
m_goes_down_False_mab_virus_nan|1176,0.293698390074583,
m_goes_down_False_mab_virus_nan|1798,0.752184200056891,
m_goes_down_False_mab_virus_nan|2944,1.5333879181219,
