parameter,value,CV
U_goes_down_False,1,
U_goes_down_True,0.982218088845084,
L_goes_down_True_mab_virus_nan|3430,3.19725429729931e-09,
L_goes_down_True_mab_virus_nan|4166,1.91175974123305e-09,
L_goes_down_True_mab_virus_nan|4168,1.0227189612142e-08,
L_goes_down_True_mab_virus_nan|Ce1176_A3,1.96415711053722e-09,
L_goes_down_True_mab_virus_nan|PVO.4,5.38021513946628e-09,
L_goes_down_True_mab_virus_nan|RHPA4259.7,2.27517991936032e-09,
L_goes_down_True_mab_virus_nan|TRO.11,3.38060122117109e-09,
m_goes_down_False_mab_virus_Clinical VRC01|PVO.4,0.540533440953127,
m_goes_down_False_mab_virus_PGDM1400|1176,0.241355322861284,
m_goes_down_False_mab_virus_PGDM1400|1798,0.20076498827464,
m_goes_down_False_mab_virus_PGDM1400|2944,0.449583506023859,
m_goes_down_False_mab_virus_PGDM1400|2946,0.271280676570456,
m_goes_down_False_mab_virus_PGDM1400|3430,0.348854753518043,
m_goes_down_False_mab_virus_PGDM1400|4166,0.349172470575463,
m_goes_down_False_mab_virus_PGDM1400|4168,0.419554792881918,
m_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,0.18603906789101,
m_goes_down_False_mab_virus_PGDM1400|PVO.4,0.496691574282672,
m_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,0.621146108450314,
m_goes_down_False_mab_virus_PGDM1400|TRO.11,0.447212014525573,
m_goes_down_False_mab_virus_PGT121|1176,0.31139636663003,
m_goes_down_False_mab_virus_PGT121|1798,0.554176963287405,
m_goes_down_False_mab_virus_PGT121|2944,0.641027618833826,
m_goes_down_False_mab_virus_PGT121|2946,0.520585526992971,
m_goes_down_False_mab_virus_PGT121|3430,0.360148158873695,
m_goes_down_False_mab_virus_PGT121|4166,0.648087776402545,
m_goes_down_False_mab_virus_PGT121|4168,0.18046265664001,
m_goes_down_False_mab_virus_PGT121|Ce1176_A3,0.698408147826941,
m_goes_down_False_mab_virus_PGT121|PVO.4,0.532026818419144,
m_goes_down_False_mab_virus_PGT121|RHPA4259.7,0.638472851476803,
m_goes_down_False_mab_virus_PGT121|TRO.11,0.685020003944953,
m_goes_down_False_mab_virus_VRC07-523LS|1176,0.468207512675519,
m_goes_down_False_mab_virus_VRC07-523LS|1798,0.692289779398139,
m_goes_down_False_mab_virus_VRC07-523LS|2944,0.534013310836891,
m_goes_down_False_mab_virus_VRC07-523LS|2946,0.581927925592879,
m_goes_down_False_mab_virus_VRC07-523LS|3430,0.577681841274076,
m_goes_down_False_mab_virus_VRC07-523LS|4166,0.600021052787521,
