id,eta_U_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
130_bNAb_Combinations|1313842|cc|1|1|nan|2946,0,0.146195,0,7.07914e-10,1.64975e-09,0,0,0,-2.18193e-07,0,-3.55271e-15,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|2|1|nan|2946,0,-0.513251,0,-7.6469e-09,3.26266e-10,0,0,0,7.18672e-08,0,-2.66454e-15,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|3|1|nan|2946,0,0.200227,0,-5.51468e-10,-3.31474e-09,0,0,0,3.17557e-07,0,8.88178e-16,-1.77636e-15,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|4|1|nan|2946,0,-0.894564,0,-3.84087e-09,6.29499e-09,0,0,0,1.01742e-07,0,-1.77636e-15,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|5|1|nan|2946,0,-0.224387,0,-2.83801e-09,4.51818e-10,0,0,0,-2.31061e-07,0,1.77636e-15,-1.77636e-15,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|6|1|nan|2946,0,-0.653887,0,2.23595e-09,1.49243e-09,0,0,0,-3.67267e-07,0,1.77636e-15,-1.77636e-15,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|7|1|nan|2946,0,-0.624717,0,4.40528e-09,6.2203e-09,0,0,0,-7.88634e-07,0,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|8|1|nan|2946,0,-1.60373,0,1.94476e-09,3.02221e-09,0,0,0,-1.48957e-07,0,1.77636e-15,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|sample|10|nan|2946,0,-10.6324,0,-6.73473e-09,-6.20363e-10,0,0,0,-6.18855,0,-2.93099e-14,1.95399e-14,0,0,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|11|nan|2946,0,-12.26,0,1.05723e-08,5.31903e-09,0,0,0,-8.10847,0,1.5099e-14,3.55271e-15,0,0,True,VRC07-523LS|2946,1313842
130_bNAb_Combinations|1313842|sample|12|nan|2946,0,-12.3688,0,6.88846e-09,-3.99022e-09,0,0,0,-7.73068,0,8.9706e-14,-1.77636e-15,0,0,True,VRC07-523LS|2946,1313842
130_bNAb_Combinations|1313842|sample|3|nan|2946,0,-10.17,0,3.89442e-09,-3.57113e-09,0,0,0,-4.42404,0,1.06581e-14,1.24345e-14,0,0,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|4|nan|2946,0,-11.1516,0,5.39972e-10,3.99553e-09,0,0,0,-5.60556,0,3.19744e-14,5.32907e-15,0,0,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|5|nan|2946,0,-2.84138,0,8.18102e-09,-1.43572e-09,0,0,0,-2.90415,0,-1.77636e-14,9.05942e-14,0,0,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|6|nan|2946,0,-2.80716,0,6.20602e-09,-1.58201e-09,0,0,0,-2.81327,0,1.65201e-13,1.54543e-13,0,0,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|7|nan|2946,0,-7.58682,0,-2.77156e-09,9.14051e-10,0,0,0,-5.03084,0,-4.17444e-14,-4.08562e-14,0,0,True,PGT121|2946,1313842
