rep,id,U,L,m,e,s,alpha,k,goes_down,mab_virus,run_id
1,130_bNAb_Combinations|1313842|cc|1|1|nan|2946,1,0.00349382,0.995891,0.353033,-15.9379,0.184164,0.000103219,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|2|1|nan|2946,1,0.00349382,0.995891,0.353033,12.3038,0.184164,0.000103219,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|3|1|nan|2946,1,0.00349382,0.995891,0.353033,27.2434,0.184164,0.000103219,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|4|1|nan|2946,1,0.00349382,0.995891,0.353033,0.213313,0.184164,0.000103219,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|5|1|nan|2946,1,0.00349382,0.995891,0.353033,-2.30909,0.184164,0.000103219,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|6|1|nan|2946,1,0.00349382,0.995891,0.353033,7.59803,0.184164,0.000103219,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|7|1|nan|2946,1,0.00349382,0.995891,0.353033,16.5291,0.184164,0.000103219,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|8|1|nan|2946,1,0.00349382,0.995891,0.353033,-7.58149,0.184164,0.000103219,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|sample|10|nan|2946,1,0.00349343,1.49575,0.353047,2.98437,0.184164,0.000103219,True,PGT121|2946,1313842
1,130_bNAb_Combinations|1313842|sample|11|nan|2946,1,0.00349343,4.33821,0.353049,1.41599,0.184164,0.000103219,True,VRC07-523LS|2946,1313842
1,130_bNAb_Combinations|1313842|sample|12|nan|2946,1,0.00349343,4.33821,0.353049,24.481,0.184164,0.000103219,True,VRC07-523LS|2946,1313842
1,130_bNAb_Combinations|1313842|sample|3|nan|2946,1,0.00349343,2.89021,0.353047,1.24071,0.184164,0.000103219,True,PGDM1400|2946,1313842
1,130_bNAb_Combinations|1313842|sample|4|nan|2946,1,0.00349343,2.89021,0.353047,0.978858,0.184164,0.000103219,True,PGDM1400|2946,1313842
1,130_bNAb_Combinations|1313842|sample|5|nan|2946,1,0.00349343,2.89021,0.353047,0.396973,0.184164,0.000103219,True,PGDM1400|2946,1313842
1,130_bNAb_Combinations|1313842|sample|6|nan|2946,1,0.00349343,2.89021,0.353047,0.397034,0.184164,0.000103219,True,PGDM1400|2946,1313842
1,130_bNAb_Combinations|1313842|sample|7|nan|2946,1,0.00349343,1.49575,0.353047,4.88531,0.184164,0.000103219,True,PGT121|2946,1313842
1,130_bNAb_Combinations|1313842|sample|8|nan|2946,1,0.00349343,1.49575,0.353047,2.9619,0.184164,0.000103219,True,PGT121|2946,1313842
1,130_bNAb_Combinations|1313842|sample|9|nan|2946,1,0.00349343,1.49575,0.353047,3.85918,0.184164,0.000103219,True,PGT121|2946,1313842
