parameter,value,CV
L_goes_down_False_mab_virus_Clinical VRC01|PVO.4,2.0914160243257e-13,
L_goes_down_False_mab_virus_PGDM1400|1176,2.09141656237901e-13,
L_goes_down_False_mab_virus_PGDM1400|1798,2.09142229288189e-13,
L_goes_down_False_mab_virus_PGDM1400|2944,2.07207445947889e-13,
L_goes_down_False_mab_virus_PGDM1400|2946,2.09139600381421e-13,
L_goes_down_False_mab_virus_PGDM1400|3430,2.0914172150796e-13,
L_goes_down_False_mab_virus_PGDM1400|4166,2.0914261819678e-13,
L_goes_down_False_mab_virus_PGDM1400|4168,2.0914159901835e-13,
L_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,2.09141788664354e-13,
L_goes_down_False_mab_virus_PGDM1400|PVO.4,2.0914159322463e-13,
L_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,2.09141523021775e-13,
L_goes_down_False_mab_virus_PGDM1400|TRO.11,2.09056253532462e-13,
L_goes_down_False_mab_virus_PGT121|1176,2.09138277805565e-13,
L_goes_down_False_mab_virus_PGT121|1798,2.09130831765482e-13,
L_goes_down_False_mab_virus_PGT121|2944,2.09141671137075e-13,
L_goes_down_False_mab_virus_PGT121|2946,2.13618318694384e-13,
L_goes_down_False_mab_virus_PGT121|3430,2.09143187987308e-13,
L_goes_down_False_mab_virus_PGT121|4166,2.07793643423111e-13,
L_goes_down_False_mab_virus_PGT121|4168,2.09141713516569e-13,
L_goes_down_False_mab_virus_PGT121|Ce1176_A3,2.09141543386544e-13,
L_goes_down_False_mab_virus_PGT121|PVO.4,2.09137541850659e-13,
L_goes_down_False_mab_virus_PGT121|RHPA4259.7,2.0914193634927e-13,
L_goes_down_False_mab_virus_PGT121|TRO.11,2.09143336234267e-13,
L_goes_down_False_mab_virus_VRC07-523LS|1176,2.02265670674046e-13,
L_goes_down_False_mab_virus_VRC07-523LS|1798,2.09141602244513e-13,
L_goes_down_False_mab_virus_VRC07-523LS|2944,2.09141952126545e-13,
L_goes_down_False_mab_virus_VRC07-523LS|2946,2.11099766606002e-13,
L_goes_down_False_mab_virus_VRC07-523LS|3430,2.08654065559389e-13,
L_goes_down_False_mab_virus_VRC07-523LS|4166,2.09140353971072e-13,
L_goes_down_False_mab_virus_VRC07-523LS|4168,2.09141741089218e-13,
L_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,2.09141474616244e-13,
L_goes_down_False_mab_virus_VRC07-523LS|PVO.4,2.09141597092056e-13,
L_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,2.09142261336123e-13,
L_goes_down_False_mab_virus_VRC07-523LS|TRO.11,2.09141719044653e-13,
L_goes_down_False_mab_virus_nan|1176,2.09139992099729e-13,
L_goes_down_False_mab_virus_nan|1798,2.09141663727532e-13,
L_goes_down_False_mab_virus_nan|2944,2.0914398561922e-13,
L_goes_down_False_mab_virus_nan|2946,2.0914161377151e-13,
L_goes_down_False_mab_virus_nan|3430,2.09141062699478e-13,
L_goes_down_False_mab_virus_nan|4166,2.0914161461658e-13,
L_goes_down_False_mab_virus_nan|4168,2.09141847983859e-13,
L_goes_down_False_mab_virus_nan|Ce1176_A3,2.09141530608227e-13,
L_goes_down_False_mab_virus_nan|PVO.4,2.09142340495264e-13,
L_goes_down_False_mab_virus_nan|RHPA4259.7,2.09141550030842e-13,
L_goes_down_False_mab_virus_nan|TRO.11,2.09141611176859e-13,
L_goes_down_True_mab_virus_Clinical VRC01|PVO.4,2.0843028131695e-13,
L_goes_down_True_mab_virus_PGDM1400|1176,2.08430334939281e-13,
L_goes_down_True_mab_virus_PGDM1400|1798,2.08430906040541e-13,
L_goes_down_True_mab_virus_PGDM1400|2944,2.06502703180778e-13,
L_goes_down_True_mab_virus_PGDM1400|2946,2.08428286075069e-13,
L_goes_down_True_mab_virus_PGDM1400|3430,2.08430399987347e-13,
L_goes_down_True_mab_virus_PGDM1400|4166,2.08431293626397e-13,
L_goes_down_True_mab_virus_PGDM1400|4168,2.08430277914342e-13,
L_goes_down_True_mab_virus_PGDM1400|Ce1176_A3,2.08430466915333e-13,
L_goes_down_True_mab_virus_PGDM1400|PVO.4,2.08430272140327e-13,
L_goes_down_True_mab_virus_PGDM1400|RHPA4259.7,2.08430202176243e-13,
L_goes_down_True_mab_virus_PGDM1400|TRO.11,2.08345222700908e-13,
L_goes_down_True_mab_virus_PGT121|1176,2.08426967997486e-13,
L_goes_down_True_mab_virus_PGT121|1798,2.08419547282473e-13,
L_goes_down_True_mab_virus_PGT121|2944,2.08430349787781e-13,
