id,eta_U_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
130_bNAb_Combinations|1313842|cc|1|1|nan|2946,0,0.0899555,8.3934e-10,0,0,0,0,0,2.08507e-07,1.33227e-15,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|2|1|nan|2946,0,0.236404,-9.24478e-09,0,0,0,0,0,-2.31293e-09,-2.66454e-15,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|3|1|nan|2946,0,0.828887,-1.21661e-09,0,0,0,0,0,2.47452e-07,-3.10862e-15,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|4|1|nan|2946,0,0.270479,-4.78203e-09,0,0,0,0,0,5.1767e-07,8.88178e-16,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|5|1|nan|2946,0,-0.17597,-6.73745e-09,0,0,0,0,0,-1.93215e-07,2.66454e-15,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|6|1|nan|2946,0,-0.39765,5.16233e-09,0,0,0,0,0,-3.78525e-07,8.88178e-16,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|7|1|nan|2946,0,0.161698,8.45705e-10,0,0,0,0,0,-5.51532e-08,3.55271e-15,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|8|1|nan|2946,0,-0.926787,-2.62814e-09,0,0,0,0,0,-2.01516e-07,8.88178e-16,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|sample|10|nan|2946,0,-4.43191,2.27433e-09,0,0,0,0,0,-4.47096,-9.32587e-15,0,0,0,0,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|11|nan|2946,0,-4.39159,3.59931e-09,0,0,0,0,0,-4.39451,-9.76996e-15,0,0,0,0,True,VRC07-523LS|2946,1313842
130_bNAb_Combinations|1313842|sample|12|nan|2946,0,-4.80221,-8.04608e-10,0,0,0,0,0,-4.78628,2.9754e-14,0,0,0,0,True,VRC07-523LS|2946,1313842
130_bNAb_Combinations|1313842|sample|3|nan|2946,0,-1.80949,9.59993e-10,0,0,0,0,0,-1.65578,1.33227e-15,0,0,0,0,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|4|nan|2946,0,-1.59968,-7.4443e-10,0,0,0,0,0,-1.73475,-4.75175e-14,0,0,0,0,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|5|nan|2946,0,-1.51649,4.6738e-10,0,0,0,0,0,-1.53117,-7.23865e-14,0,0,0,0,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|6|nan|2946,0,-1.27942,-1.02375e-09,0,0,0,0,0,-1.34744,-2.16271e-13,0,0,0,0,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|7|nan|2946,0,-4.1482,-9.63701e-10,0,0,0,0,0,-4.17553,1.90958e-14,0,0,0,0,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|8|nan|2946,0,-3.99932,7.85615e-09,0,0,0,0,0,-4.02551,1.46549e-14,0,0,0,0,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|9|nan|2946,0,-4.91524,-1.09725e-09,0,0,0,0,0,-4.77868,4.92939e-14,0,0,0,0,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|vc|1|2|nan|2946,0,-0.207229,3.65845e-09,0,0,0,0,0,-1.81384e-07,-7.10543e-15,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|2|2|nan|2946,0,0.679462,-1.96682e-09,0,0,0,0,0,-2.27468e-07,-4.44089e-16,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|3|2|nan|2946,0,-0.580927,2.89078e-09,0,0,0,0,0,-1.89135e-07,-5.32907e-15,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|4|2|nan|2946,0,0.0713428,2.6644e-09,0,0,0,0,0,-4.47959e-07,-1.33227e-15,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|5|2|nan|2946,0,-0.265991,2.26021e-11,0,0,0,0,0,-2.23369e-07,3.55271e-15,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|6|2|nan|2946,0,0.417623,-1.12343e-09,0,0,0,0,0,-4.43529e-07,-8.88178e-16,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|7|2|nan|2946,0,-0.478732,1.78319e-09,0,0,0,0,0,-2.78762e-07,8.88178e-16,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|8|2|nan|2946,0,0.261379,8.23382e-10,0,0,0,0,0,3.60098e-07,-8.88178e-16,0,0,0,0,False,nan|2946,1313842
