parameter,value,CV
U_goes_down_False_mab_virus_Clinical VRC01|PVO.4,1,
U_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|1176,0.958168422824359,
U_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|1798,0.901225950039405,
U_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|2944,0.686729025024965,
U_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|2946,0.940935908765893,
U_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|3430,0.479118541716113,
U_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|4166,0.850764112084297,
U_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|4168,1.03470091491033,
U_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|Ce1176_A3,0.862285203056083,
U_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|PVO.4,1.03329321688981,
U_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|RHPA4259.7,0.919514824756561,
U_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|TRO.11,1.05306692354392,
U_goes_down_False_mab_virus_PGDM1400|1176,1.33851315227001,
U_goes_down_False_mab_virus_PGDM1400|1798,1.2054159747574,
U_goes_down_False_mab_virus_PGDM1400|2944,0.836662602526585,
U_goes_down_False_mab_virus_PGDM1400|2946,1.02962649351276,
U_goes_down_False_mab_virus_PGDM1400|3430,1.19252990180874,
U_goes_down_False_mab_virus_PGDM1400|4166,1.09462207430517,
U_goes_down_False_mab_virus_PGDM1400|4168,1.01227819118986,
U_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,0.993969010497315,
U_goes_down_False_mab_virus_PGDM1400|PVO.4,0.971419021584187,
U_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,0.927635414889815,
U_goes_down_False_mab_virus_PGDM1400|TRO.11,1.03804097483721,
U_goes_down_False_mab_virus_PGT121 + VRC07-523LS|1176,0.854129228106417,
U_goes_down_False_mab_virus_PGT121 + VRC07-523LS|1798,0.834900616812516,
U_goes_down_False_mab_virus_PGT121 + VRC07-523LS|2944,0.885795964139498,
U_goes_down_False_mab_virus_PGT121 + VRC07-523LS|2946,0.858648445435698,
U_goes_down_False_mab_virus_PGT121 + VRC07-523LS|3430,0.953711891820097,
