parameter,value,CV
L_goes_down_False_mab_virus_Clinical VRC01|PVO.4,3.34517186747682e-10,
L_goes_down_False_mab_virus_PGDM1400|1176,3.3451719323915e-10,
L_goes_down_False_mab_virus_PGDM1400|1798,3.34517561381202e-10,
L_goes_down_False_mab_virus_PGDM1400|2944,1.64453730464803e-10,
L_goes_down_False_mab_virus_PGDM1400|2946,3.34465879776817e-10,
L_goes_down_False_mab_virus_PGDM1400|3430,3.34517193377933e-10,
L_goes_down_False_mab_virus_PGDM1400|4166,3.34517453057999e-10,
L_goes_down_False_mab_virus_PGDM1400|4168,3.3451712236097e-10,
L_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,3.34517257356246e-10,
L_goes_down_False_mab_virus_PGDM1400|PVO.4,3.34516966766242e-10,
L_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,3.34517035704243e-10,
L_goes_down_False_mab_virus_PGDM1400|TRO.11,3.32246027956793e-10,
L_goes_down_False_mab_virus_PGT121|1176,3.34515436930904e-10,
L_goes_down_False_mab_virus_PGT121|1798,3.34516857977496e-10,
L_goes_down_False_mab_virus_PGT121|2944,3.3451724504991e-10,
L_goes_down_False_mab_virus_PGT121|2946,9.66696978279283e-10,
L_goes_down_False_mab_virus_PGT121|3430,3.3451737391163e-10,
L_goes_down_False_mab_virus_PGT121|4166,3.34517183952005e-10,
L_goes_down_False_mab_virus_PGT121|4168,3.34517197257716e-10,
L_goes_down_False_mab_virus_PGT121|Ce1176_A3,3.34516796768149e-10,
L_goes_down_False_mab_virus_PGT121|PVO.4,3.34516667347046e-10,
L_goes_down_False_mab_virus_PGT121|RHPA4259.7,3.36548355673982e-10,
L_goes_down_False_mab_virus_PGT121|TRO.11,3.34858656926809e-10,
L_goes_down_False_mab_virus_VRC07-523LS|1176,1.29469369045076e-10,
L_goes_down_False_mab_virus_VRC07-523LS|1798,3.34517182966176e-10,
L_goes_down_False_mab_virus_VRC07-523LS|2944,3.53958804322016e-10,
L_goes_down_False_mab_virus_VRC07-523LS|2946,3.821282348936e-10,
L_goes_down_False_mab_virus_VRC07-523LS|3430,3.34517093204979e-10,
L_goes_down_False_mab_virus_VRC07-523LS|4166,3.34517071439568e-10,
L_goes_down_False_mab_virus_VRC07-523LS|4168,3.34519086057942e-10,
L_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,3.34517183812005e-10,
L_goes_down_False_mab_virus_VRC07-523LS|PVO.4,3.34516601904364e-10,
L_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,3.34517122417436e-10,
L_goes_down_False_mab_virus_VRC07-523LS|TRO.11,3.3451720045519e-10,
L_goes_down_False_mab_virus_nan|1176,3.34516253442382e-10,
L_goes_down_False_mab_virus_nan|1798,3.34517188741746e-10,
L_goes_down_False_mab_virus_nan|2944,3.34518306506451e-10,
L_goes_down_False_mab_virus_nan|2946,3.34517486617237e-10,
L_goes_down_False_mab_virus_nan|3430,3.34514005002006e-10,
L_goes_down_False_mab_virus_nan|4166,3.34517188961621e-10,
L_goes_down_False_mab_virus_nan|4168,3.3452971271203e-10,
L_goes_down_False_mab_virus_nan|Ce1176_A3,3.34514489979167e-10,
L_goes_down_False_mab_virus_nan|PVO.4,3.3451723030775e-10,
L_goes_down_False_mab_virus_nan|RHPA4259.7,3.34515501460807e-10,
L_goes_down_False_mab_virus_nan|TRO.11,3.34517194346017e-10,
L_goes_down_True_mab_virus_Clinical VRC01|PVO.4,3.34427082087805e-10,
L_goes_down_True_mab_virus_PGDM1400|1176,3.34427088577525e-10,
L_goes_down_True_mab_virus_PGDM1400|1798,3.34427456620415e-10,
L_goes_down_True_mab_virus_PGDM1400|2944,1.64409433645279e-10,
L_goes_down_True_mab_virus_PGDM1400|2946,3.34375788936849e-10,
L_goes_down_True_mab_virus_PGDM1400|3430,3.3442708871627e-10,
L_goes_down_True_mab_virus_PGDM1400|4166,3.34427348326389e-10,
L_goes_down_True_mab_virus_PGDM1400|4168,3.34427017718436e-10,
L_goes_down_True_mab_virus_PGDM1400|Ce1176_A3,3.3442715267735e-10,
L_goes_down_True_mab_virus_PGDM1400|PVO.4,3.34426862165618e-10,
L_goes_down_True_mab_virus_PGDM1400|RHPA4259.7,3.34426931085051e-10,
L_goes_down_True_mab_virus_PGDM1400|TRO.11,3.32156535050208e-10,
