id,eta_U_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
130_bNAb_Combinations|1313842|cc|1|1|nan|2946,0,0,-0.00291625,0,-0.27008,0,0,0,0,-4.41858e-09,0,7.32155e-07,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|2|1|nan|2946,0,0,0.0273708,0,-0.260899,0,0,0,0,1.75852e-09,0,-3.33645e-07,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|3|1|nan|2946,0,0,0.00778257,0,-0.616603,0,0,0,0,2.66382e-09,0,6.52985e-07,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|4|1|nan|2946,0,0,0.0302289,0,-0.680336,0,0,0,0,2.80877e-09,0,1.55068e-08,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|5|1|nan|2946,0,0,0.0272182,0,2.54351,0,0,0,0,1.02813e-09,0,2.22103e-07,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|6|1|nan|2946,0,0,-0.00781681,0,1.58569,0,0,0,0,1.62785e-09,0,1.93586e-07,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|7|1|nan|2946,0,0,-0.0132948,0,0.722426,0,0,0,0,2.16705e-10,0,3.10252e-07,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|8|1|nan|2946,0,0,-0.0192898,0,-1.8709,0,0,0,0,-1.00728e-09,0,3.26739e-07,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|sample|10|nan|2946,0,0,0.073878,0,-14.0774,0,0,0,0,0.0285431,0,-14.7154,0,0,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|11|nan|2946,0,0,0.169692,0,-14.9894,0,0,0,0,0.14816,0,-15.2176,0,0,True,VRC07-523LS|2946,1313842
130_bNAb_Combinations|1313842|sample|12|nan|2946,0,0,0.0722393,0,-14.5842,0,0,0,0,0.0587989,0,-14.9557,0,0,True,VRC07-523LS|2946,1313842
130_bNAb_Combinations|1313842|sample|3|nan|2946,0,0,0.0376803,0,-18.8023,0,0,0,0,0.0464202,0,-18.8225,0,0,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|4|nan|2946,0,0,0.0156905,0,-18.6678,0,0,0,0,0.00689763,0,-18.7181,0,0,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|5|nan|2946,0,0,-0.162871,0,-19.2098,0,0,0,0,-0.178808,0,-19.264,0,0,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|6|nan|2946,0,0,-0.124509,0,-19.1983,0,0,0,0,-0.134398,0,-19.3682,0,0,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|7|nan|2946,0,0,0.107176,0,-14.5996,0,0,0,0,0.0740063,0,-15.097,0,0,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|8|nan|2946,0,0,0.118721,0,-14.0746,0,0,0,0,0.043841,0,-15.1639,0,0,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|9|nan|2946,0,0,0.203526,0,-12.178,0,0,0,0,0.0705845,0,-14.2032,0,0,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|vc|1|2|nan|2946,0,0,0.0173488,0,1.10538,0,0,0,0,-2.67594e-09,0,-1.25148e-07,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|2|2|nan|2946,0,0,0.01484,0,0.692714,0,0,0,0,-1.76674e-10,0,-2.81607e-07,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|3|2|nan|2946,0,0,-0.0169341,0,2.36566,0,0,0,0,-7.26085e-10,0,4.57522e-07,0,0,False,nan|2946,1313842
