parameter,value,CV
L_goes_down_False_mab_virus_Clinical VRC01|PVO.4,2.08938829446762e-07,
L_goes_down_False_mab_virus_PGDM1400|1176,6.67190285995665e-06,
L_goes_down_False_mab_virus_PGDM1400|1798,1.71104353509066e-07,
L_goes_down_False_mab_virus_PGDM1400|2944,1.12023122603508e-06,
L_goes_down_False_mab_virus_PGDM1400|2946,1.72904844059758e-06,
L_goes_down_False_mab_virus_PGDM1400|3430,9.67774328031817e-08,
L_goes_down_False_mab_virus_PGDM1400|4166,1.13367328424775e-06,
L_goes_down_False_mab_virus_PGDM1400|4168,1.15663854547162e-07,
L_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,1.68021811535535e-06,
L_goes_down_False_mab_virus_PGDM1400|PVO.4,1.65970620545968e-09,
L_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,1.79581969490536e-08,
L_goes_down_False_mab_virus_PGDM1400|TRO.11,3.88748991820165e-07,
L_goes_down_False_mab_virus_PGT121|1176,1.40159466249325e-06,
L_goes_down_False_mab_virus_PGT121|1798,1.72838034520861e-07,
L_goes_down_False_mab_virus_PGT121|2944,1.08286902747364e-06,
L_goes_down_False_mab_virus_PGT121|2946,1.98938388742765e-06,
L_goes_down_False_mab_virus_PGT121|3430,8.6678173012183e-08,
L_goes_down_False_mab_virus_PGT121|4166,2.06156483850923e-09,
L_goes_down_False_mab_virus_PGT121|4168,6.80717809056624e-06,
L_goes_down_False_mab_virus_PGT121|Ce1176_A3,5.36215304461034e-09,
L_goes_down_False_mab_virus_PGT121|PVO.4,9.66704426231465e-06,
L_goes_down_False_mab_virus_PGT121|RHPA4259.7,3.28295336336046e-07,
L_goes_down_False_mab_virus_PGT121|TRO.11,1.96676864329489e-07,
L_goes_down_False_mab_virus_VRC07-523LS|1176,6.58918947937725e-08,
L_goes_down_False_mab_virus_VRC07-523LS|1798,6.25182837810457e-07,
L_goes_down_False_mab_virus_VRC07-523LS|2944,1.6037526273981e-08,
L_goes_down_False_mab_virus_VRC07-523LS|2946,1.37183627194293e-06,
L_goes_down_False_mab_virus_VRC07-523LS|3430,7.72372249448581e-08,
L_goes_down_False_mab_virus_VRC07-523LS|4166,2.24220901666062e-07,
L_goes_down_False_mab_virus_VRC07-523LS|4168,3.48197397473844e-09,
L_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,2.05652157217413e-05,
L_goes_down_False_mab_virus_VRC07-523LS|PVO.4,2.51502404795097e-08,
L_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,4.75217683999234e-07,
L_goes_down_False_mab_virus_VRC07-523LS|TRO.11,1.21742490961786e-07,
L_goes_down_False_mab_virus_nan|1176,1.60698090231124e-08,
L_goes_down_False_mab_virus_nan|1798,1.43494981917293e-07,
L_goes_down_False_mab_virus_nan|2944,1.39053700559838e-07,
L_goes_down_False_mab_virus_nan|2946,3.75264344892972e-08,
L_goes_down_False_mab_virus_nan|3430,2.21612296627312e-07,
L_goes_down_False_mab_virus_nan|4166,9.00166897279258e-08,
L_goes_down_False_mab_virus_nan|4168,1.1616361020268e-08,
L_goes_down_False_mab_virus_nan|Ce1176_A3,6.36085648370061e-08,
L_goes_down_False_mab_virus_nan|PVO.4,7.91785236035451e-08,
L_goes_down_False_mab_virus_nan|RHPA4259.7,6.15583800589537e-08,
L_goes_down_False_mab_virus_nan|TRO.11,5.15293808689854e-08,
L_goes_down_True_mab_virus_Clinical VRC01|PVO.4,3.2466065831813e-08,
L_goes_down_True_mab_virus_PGDM1400|1176,1.03671700491654e-06,
L_goes_down_True_mab_virus_PGDM1400|1798,2.65871366267542e-08,
L_goes_down_True_mab_virus_PGDM1400|2944,1.74067696404772e-07,
L_goes_down_True_mab_virus_PGDM1400|2946,2.68669067628419e-07,
L_goes_down_True_mab_virus_PGDM1400|3430,1.50378104095895e-08,
L_goes_down_True_mab_virus_PGDM1400|4166,1.76156397427953e-07,
L_goes_down_True_mab_virus_PGDM1400|4168,1.79724866174107e-08,
L_goes_down_True_mab_virus_PGDM1400|Ce1176_A3,2.61081542810265e-07,
L_goes_down_True_mab_virus_PGDM1400|PVO.4,2.57894289302757e-10,
L_goes_down_True_mab_virus_PGDM1400|RHPA4259.7,2.79044352795704e-09,
L_goes_down_True_mab_virus_PGDM1400|TRO.11,6.04059589780573e-08,
L_goes_down_True_mab_virus_PGT121|1176,2.17787496476897e-07,
L_goes_down_True_mab_virus_PGT121|1798,2.68565255288043e-08,
L_goes_down_True_mab_virus_PGT121|2944,1.68262152259011e-07,
L_goes_down_True_mab_virus_PGT121|2946,3.09121422882439e-07,
