parameter,value,CV
L_goes_down_True_mab_virus_nan|TRO.11,0.0490823485146639,
m_goes_down_False_mab_virus_Clinical VRC01|PVO.4,1.36059095979135,
m_goes_down_False_mab_virus_PGDM1400|1176,-0.231832123892189,
m_goes_down_False_mab_virus_PGDM1400|1798,0.228629400502525,
m_goes_down_False_mab_virus_PGDM1400|2944,-0.55947150946306,
m_goes_down_False_mab_virus_PGDM1400|2946,2.1871939835252,
m_goes_down_False_mab_virus_PGDM1400|3430,-0.501649935583826,
m_goes_down_False_mab_virus_PGDM1400|4166,-0.425007481695111,
m_goes_down_False_mab_virus_PGDM1400|4168,4.2329329824871,
m_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,2.41641600822241,
m_goes_down_False_mab_virus_PGDM1400|PVO.4,2.31192922454903,
m_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,0.975630745522295,
m_goes_down_False_mab_virus_PGDM1400|TRO.11,1.75540701146774,
m_goes_down_False_mab_virus_PGT121|1176,1.37579295037663,
m_goes_down_False_mab_virus_PGT121|1798,-0.0896712519300411,
m_goes_down_False_mab_virus_PGT121|2944,-0.365261037719119,
m_goes_down_False_mab_virus_PGT121|2946,0.925931602556247,
m_goes_down_False_mab_virus_PGT121|3430,-0.0932490458181465,
m_goes_down_False_mab_virus_PGT121|4166,-0.344312966386833,
m_goes_down_False_mab_virus_PGT121|4168,-0.0532237718403306,
m_goes_down_False_mab_virus_PGT121|Ce1176_A3,-0.307998006056213,
m_goes_down_False_mab_virus_PGT121|PVO.4,0.165241377479492,
m_goes_down_False_mab_virus_PGT121|RHPA4259.7,-0.286368825734063,
m_goes_down_False_mab_virus_PGT121|TRO.11,-0.312209640072693,
m_goes_down_False_mab_virus_VRC07-523LS|1176,-0.132433711425879,
m_goes_down_False_mab_virus_VRC07-523LS|1798,0.89361664702886,
m_goes_down_False_mab_virus_VRC07-523LS|2944,-0.0319529443194793,
m_goes_down_False_mab_virus_VRC07-523LS|2946,2.28944428185498,
m_goes_down_False_mab_virus_VRC07-523LS|3430,-0.157792138259715,
m_goes_down_False_mab_virus_VRC07-523LS|4166,-0.311360187630148,
m_goes_down_False_mab_virus_VRC07-523LS|4168,0.638243193359896,
m_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,0.686198912607558,
m_goes_down_False_mab_virus_VRC07-523LS|PVO.4,0.0908122010266865,
m_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,-0.283572377647864,
m_goes_down_False_mab_virus_VRC07-523LS|TRO.11,0.0547077361086747,
m_goes_down_False_mab_virus_nan|1176,1.25520468736417,
m_goes_down_False_mab_virus_nan|1798,1.10858940380798,
m_goes_down_False_mab_virus_nan|2944,2.39332375568823,
m_goes_down_False_mab_virus_nan|2946,2.04081658559906,
m_goes_down_False_mab_virus_nan|3430,1.20346409214782,
m_goes_down_False_mab_virus_nan|4166,1.31438914121445,
m_goes_down_False_mab_virus_nan|4168,1.00646920516366,
m_goes_down_False_mab_virus_nan|Ce1176_A3,1.79395539571954,
m_goes_down_False_mab_virus_nan|PVO.4,0.926301583432139,
m_goes_down_False_mab_virus_nan|RHPA4259.7,0.931458433060713,
m_goes_down_False_mab_virus_nan|TRO.11,1.26368566308522,
m_goes_down_True_mab_virus_Clinical VRC01|PVO.4,2.45002453100471,
m_goes_down_True_mab_virus_PGDM1400|1176,0.857601447321166,
m_goes_down_True_mab_virus_PGDM1400|1798,1.31806297171588,
m_goes_down_True_mab_virus_PGDM1400|2944,0.529962061750294,
m_goes_down_True_mab_virus_PGDM1400|2946,3.27662755473856,
m_goes_down_True_mab_virus_PGDM1400|3430,0.587783635629529,
m_goes_down_True_mab_virus_PGDM1400|4166,0.664426089518244,
m_goes_down_True_mab_virus_PGDM1400|4168,5.32236655370045,
m_goes_down_True_mab_virus_PGDM1400|Ce1176_A3,3.50584957943577,
m_goes_down_True_mab_virus_PGDM1400|PVO.4,3.40136279576239,
m_goes_down_True_mab_virus_PGDM1400|RHPA4259.7,2.06506431673565,
m_goes_down_True_mab_virus_PGDM1400|TRO.11,2.8448405826811,
m_goes_down_True_mab_virus_PGT121|1176,2.46522652158999,
m_goes_down_True_mab_virus_PGT121|1798,0.999762319283314,
m_goes_down_True_mab_virus_PGT121|2944,0.724172533494236,
m_goes_down_True_mab_virus_PGT121|2946,2.0153651737696,
m_goes_down_True_mab_virus_PGT121|3430,0.996184525395208,
m_goes_down_True_mab_virus_PGT121|4166,0.745120604826521,
m_goes_down_True_mab_virus_PGT121|4168,1.03620979937302,
m_goes_down_True_mab_virus_PGT121|Ce1176_A3,0.781435565157142,
m_goes_down_True_mab_virus_PGT121|PVO.4,1.25467494869285,
m_goes_down_True_mab_virus_PGT121|RHPA4259.7,0.803064745479292,
m_goes_down_True_mab_virus_PGT121|TRO.11,0.777223931140661,
m_goes_down_True_mab_virus_VRC07-523LS|1176,0.956999859787476,
m_goes_down_True_mab_virus_VRC07-523LS|1798,1.98305021824221,
m_goes_down_True_mab_virus_VRC07-523LS|2944,1.05748062689388,
m_goes_down_True_mab_virus_VRC07-523LS|2946,3.37887785306834,
m_goes_down_True_mab_virus_VRC07-523LS|3430,0.93164143295364,
m_goes_down_True_mab_virus_VRC07-523LS|4166,0.778073383583207,
m_goes_down_True_mab_virus_VRC07-523LS|4168,1.72767676457325,
m_goes_down_True_mab_virus_VRC07-523LS|Ce1176_A3,1.77563248382091,
m_goes_down_True_mab_virus_VRC07-523LS|PVO.4,1.18024577224004,
m_goes_down_True_mab_virus_VRC07-523LS|RHPA4259.7,0.805861193565491,
m_goes_down_True_mab_virus_VRC07-523LS|TRO.11,1.14414130732203,
m_goes_down_True_mab_virus_nan|1176,2.34463825857753,
m_goes_down_True_mab_virus_nan|1798,2.19802297502134,
m_goes_down_True_mab_virus_nan|2944,3.48275732690159,
m_goes_down_True_mab_virus_nan|2946,3.13025015681241,
m_goes_down_True_mab_virus_nan|3430,2.29289766336118,
m_goes_down_True_mab_virus_nan|4166,2.4038227124278,
m_goes_down_True_mab_virus_nan|4168,2.09590277637701,
m_goes_down_True_mab_virus_nan|Ce1176_A3,2.8833889669329,
m_goes_down_True_mab_virus_nan|PVO.4,2.01573515464549,
m_goes_down_True_mab_virus_nan|RHPA4259.7,2.02089200427407,
m_goes_down_True_mab_virus_nan|TRO.11,2.35311923429857,
e_goes_down_False_mab_virus_Clinical VRC01|PVO.4,0.155361311361571,
e_goes_down_False_mab_virus_PGDM1400|1176,0.155361423867337,
e_goes_down_False_mab_virus_PGDM1400|1798,0.155359801747964,
e_goes_down_False_mab_virus_PGDM1400|2944,0.155360071530623,
e_goes_down_False_mab_virus_PGDM1400|2946,0.165516961087302,
e_goes_down_False_mab_virus_PGDM1400|3430,0.155360110295854,
e_goes_down_False_mab_virus_PGDM1400|4166,0.155358261556925,
e_goes_down_False_mab_virus_PGDM1400|4168,0.155361921078988,
e_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,0.152150648114765,
e_goes_down_False_mab_virus_PGDM1400|PVO.4,0.155361313144685,
e_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,0.155363199082477,
e_goes_down_False_mab_virus_PGDM1400|TRO.11,0.153480683281489,
e_goes_down_False_mab_virus_PGT121|1176,0.155358956694703,
e_goes_down_False_mab_virus_PGT121|1798,0.155361760611051,
e_goes_down_False_mab_virus_PGT121|2944,0.155360583237838,
e_goes_down_False_mab_virus_PGT121|2946,0.15536146129129,
e_goes_down_False_mab_virus_PGT121|3430,0.155361718682007,
e_goes_down_False_mab_virus_PGT121|4166,0.193605418575745,
e_goes_down_False_mab_virus_PGT121|4168,0.1553610872936,
e_goes_down_False_mab_virus_PGT121|Ce1176_A3,0.140987000234461,
e_goes_down_False_mab_virus_PGT121|PVO.4,0.155360964635197,
e_goes_down_False_mab_virus_PGT121|RHPA4259.7,0.153014282829319,
e_goes_down_False_mab_virus_PGT121|TRO.11,0.155360409677106,
e_goes_down_False_mab_virus_VRC07-523LS|1176,0.155362083816023,
e_goes_down_False_mab_virus_VRC07-523LS|1798,0.155361341139232,
e_goes_down_False_mab_virus_VRC07-523LS|2944,0.155364380307891,
e_goes_down_False_mab_virus_VRC07-523LS|2946,0.155361206903754,
e_goes_down_False_mab_virus_VRC07-523LS|3430,0.155361101155749,
e_goes_down_False_mab_virus_VRC07-523LS|4166,0.155437795927192,
e_goes_down_False_mab_virus_VRC07-523LS|4168,0.155361612426775,
e_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,0.158380633193159,
e_goes_down_False_mab_virus_VRC07-523LS|PVO.4,0.155361454430297,
e_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,0.159626124280156,
e_goes_down_False_mab_virus_VRC07-523LS|TRO.11,0.155361433082649,
e_goes_down_False_mab_virus_nan|1176,0.155359221640185,
e_goes_down_False_mab_virus_nan|1798,0.155361317331427,
e_goes_down_False_mab_virus_nan|2944,0.155360803427806,
e_goes_down_False_mab_virus_nan|2946,0.155359416400208,
e_goes_down_False_mab_virus_nan|3430,0.155358748464984,
e_goes_down_False_mab_virus_nan|4166,0.155347316829614,
e_goes_down_False_mab_virus_nan|4168,0.155407016842372,
e_goes_down_False_mab_virus_nan|Ce1176_A3,0.155359215265734,
e_goes_down_False_mab_virus_nan|PVO.4,0.155215570195234,
e_goes_down_False_mab_virus_nan|RHPA4259.7,0.155373731868588,
e_goes_down_False_mab_virus_nan|TRO.11,0.155361998890814,
e_goes_down_True_mab_virus_Clinical VRC01|PVO.4,0.155364572822244,
e_goes_down_True_mab_virus_PGDM1400|1176,0.155364685330372,
