parameter,value,CV
L_goes_down_False_mab_virus_Clinical VRC01|PVO.4,1.15697193111704e-07,
L_goes_down_False_mab_virus_PGDM1400|1176,7.97639607708293e-07,
L_goes_down_False_mab_virus_PGDM1400|1798,2.53209572688237e-07,
L_goes_down_False_mab_virus_PGDM1400|2944,2.65357106780442e-05,
L_goes_down_False_mab_virus_PGDM1400|2946,6.47209660078062e-06,
L_goes_down_False_mab_virus_PGDM1400|3430,1.17427750056702e-05,
L_goes_down_False_mab_virus_PGDM1400|4166,6.28531469139036e-05,
L_goes_down_False_mab_virus_PGDM1400|4168,8.56222160417507e-09,
L_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,1.38391113608091e-06,
L_goes_down_False_mab_virus_PGDM1400|PVO.4,8.52310980264381e-07,
L_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,2.62640694435022e-07,
L_goes_down_False_mab_virus_PGDM1400|TRO.11,3.91815761314071e-08,
L_goes_down_False_mab_virus_PGT121|1176,1.62956061950723e-07,
L_goes_down_False_mab_virus_PGT121|1798,1.0694468942024e-08,
L_goes_down_False_mab_virus_PGT121|2944,7.07776448860577e-07,
L_goes_down_False_mab_virus_PGT121|2946,4.0312315617407e-06,
L_goes_down_False_mab_virus_PGT121|3430,1.90492838562418e-06,
L_goes_down_False_mab_virus_PGT121|4166,2.87416881337614e-06,
L_goes_down_False_mab_virus_PGT121|4168,8.549944007212e-06,
L_goes_down_False_mab_virus_PGT121|Ce1176_A3,7.90942979207667e-07,
L_goes_down_False_mab_virus_PGT121|PVO.4,0.000640708273642407,
L_goes_down_False_mab_virus_PGT121|RHPA4259.7,4.24812019209915e-06,
L_goes_down_False_mab_virus_PGT121|TRO.11,0.000105073510346807,
L_goes_down_False_mab_virus_VRC07-523LS|1176,1.42872789956768e-06,
L_goes_down_False_mab_virus_VRC07-523LS|1798,2.19055794009946e-07,
L_goes_down_False_mab_virus_VRC07-523LS|2944,3.93134862240873e-05,
L_goes_down_False_mab_virus_VRC07-523LS|2946,1.30711887859412e-06,
L_goes_down_False_mab_virus_VRC07-523LS|3430,8.89386213918658e-06,
L_goes_down_False_mab_virus_VRC07-523LS|4166,4.77107030235422e-08,
L_goes_down_False_mab_virus_VRC07-523LS|4168,2.83905943130646e-07,
L_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,8.75314099549255e-06,
L_goes_down_False_mab_virus_VRC07-523LS|PVO.4,2.18414852537851e-05,
L_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,7.68243082264957e-07,
L_goes_down_False_mab_virus_VRC07-523LS|TRO.11,4.547052123065e-05,
L_goes_down_False_mab_virus_nan|1176,1.02773664091619e-07,
L_goes_down_False_mab_virus_nan|1798,4.48878175815981e-08,
L_goes_down_False_mab_virus_nan|2944,1.23396348288068e-08,
L_goes_down_False_mab_virus_nan|2946,1.26790046449117e-08,
L_goes_down_False_mab_virus_nan|3430,3.03321271412339e-08,
L_goes_down_False_mab_virus_nan|4166,1.96562140473581e-08,
L_goes_down_False_mab_virus_nan|4168,1.24196160076391e-07,
L_goes_down_False_mab_virus_nan|Ce1176_A3,2.31741156495302e-08,
L_goes_down_False_mab_virus_nan|PVO.4,7.25574211449691e-08,
L_goes_down_False_mab_virus_nan|RHPA4259.7,2.65781464155459e-08,
L_goes_down_False_mab_virus_nan|TRO.11,6.29835448460969e-08,
L_goes_down_True_mab_virus_Clinical VRC01|PVO.4,4.42436746426411e-09,
L_goes_down_True_mab_virus_PGDM1400|1176,3.05024748970852e-08,
L_goes_down_True_mab_virus_PGDM1400|1798,9.68296779646529e-09,
L_goes_down_True_mab_virus_PGDM1400|2944,1.01475007134973e-06,
L_goes_down_True_mab_virus_PGDM1400|2946,2.47498948383489e-07,
L_goes_down_True_mab_virus_PGDM1400|3430,4.49054555931188e-07,
L_goes_down_True_mab_virus_PGDM1400|4166,2.40356235750681e-06,
L_goes_down_True_mab_virus_PGDM1400|4168,3.27427257900342e-10,
L_goes_down_True_mab_virus_PGDM1400|Ce1176_A3,5.29220393272424e-08,
L_goes_down_True_mab_virus_PGDM1400|PVO.4,3.2593158650582e-08,
L_goes_down_True_mab_virus_PGDM1400|RHPA4259.7,1.00436225978977e-08,
L_goes_down_True_mab_virus_PGDM1400|TRO.11,1.4983396396403e-09,
L_goes_down_True_mab_virus_PGT121|1176,6.23159023316402e-09,
L_goes_down_True_mab_virus_PGT121|1798,4.08966364369714e-10,
L_goes_down_True_mab_virus_PGT121|2944,2.70660247503823e-08,
L_goes_down_True_mab_virus_PGT121|2946,1.54158016136659e-07,
L_goes_down_True_mab_virus_PGT121|3430,7.284621989897e-08,
L_goes_down_True_mab_virus_PGT121|4166,1.09910868558639e-07,
L_goes_down_True_mab_virus_PGT121|4168,3.26957751259067e-07,
L_goes_down_True_mab_virus_PGT121|Ce1176_A3,3.0246389641587e-08,
L_goes_down_True_mab_virus_PGT121|PVO.4,2.45012758196425e-05,
L_goes_down_True_mab_virus_PGT121|RHPA4259.7,1.62452037570699e-07,
